Date,ZRX,ETC,TRX,KAVA,TRU,FUN,HIVE,SUN,HARD,COS
2022-03-10 21:00:00,4622.560286017773,8966.700822714953,977.2501009327227,4732.952806701703,4068.102749726593,2970.755047083764,1562.3658269693233,1368.9185248092745,2707.3362762910747,4174.752311825484
2022-03-10 22:00:00,4643.862407151496,8966.700822714953,981.7535576190487,4732.952806701703,4086.84976700644,2984.4451625081138,1562.3658269693233,1368.9185248092745,2707.3362762910747,4174.752311825484
2022-03-10 23:00:00,4681.617386071427,8966.700822714953,989.7352938598542,4732.952806701703,4120.076187876412,3008.708944317123,1562.3658269693233,1368.9185248092745,2707.3362762910747,4174.752311825484
2022-03-11 00:00:00,4753.387463923937,8966.700822714953,1004.9081226572339,4732.952806701703,4183.237733209421,3054.8330201144367,1538.776099035989,1368.9185248092745,2707.3362762910747,4174.752311825484
2022-03-11 01:00:00,4804.377317529794,8966.700822714953,1015.6878283829966,4732.952806701703,4228.111558714647,3087.6023850501097,1522.444748928296,1368.9185248092745,2707.3362762910747,4174.752311825484
2022-03-11 02:00:00,4708.963282018106,8966.700822714953,995.5164579595028,4638.957248624684,4144.142053459802,3026.2831788049566,1553.2928546872718,1368.9185248092745,2762.1929112099638,4174.752311825484
2022-03-11 03:00:00,4731.07109085387,8966.700822714953,1000.1902441471058,4660.736390637006,4144.142053459802,3040.4910810528663,1546.0344768616305,1368.9185248092745,2749.285467699637,4174.752311825484
2022-03-11 04:00:00,4731.07109085387,8966.700822714953,985.1584832524095,4590.690641413559,4144.142053459802,2994.795839372303,1569.6242047949654,1368.9185248092745,2791.2346591081996,4174.752311825484
2022-03-11 05:00:00,4731.07109085387,8966.700822714953,971.6785496161166,4527.876174256247,4201.633041484677,2994.795839372303,1591.3993382718895,1368.9185248092745,2829.95698963918,4174.752311825484
2022-03-11 06:00:00,4731.07109085387,8966.700822714953,963.9842624585231,4492.021951156934,4235.169451165854,2994.795839372303,1604.1014994667619,1368.9185248092745,2852.545015782252,4174.752311825484
2022-03-11 07:00:00,4731.07109085387,8966.700822714953,970.5718542293102,4522.719139889214,4206.423957153416,2974.4691707792786,1593.2139327282996,1368.9185248092745,2833.1838505167616,4174.752311825484
2022-03-11 08:00:00,4731.07109085387,8966.700822714953,969.4676769207446,4517.573839388771,4211.2148728221555,2977.8569488781163,1595.02852718471,1368.9185248092745,2836.4107113943433,4174.752311825484
2022-03-11 09:00:00,4731.07109085387,8966.700822714953,968.3660091060615,4517.573839388771,4216.0057884908965,2981.2447269769546,1596.843121641121,1368.9185248092745,2839.637572271926,4174.752311825484
2022-03-11 10:00:00,4731.07109085387,8966.700822714953,950.0134760460807,4517.573839388771,4297.45135485947,3038.83695465719,1627.6912274000967,1368.9185248092745,2894.4942071908144,4174.752311825484
2022-03-11 11:00:00,4731.07109085387,8966.700822714953,952.1364111880829,4517.573839388771,4287.869523521992,3032.061398459516,1624.0620384872761,1368.9185248092745,2888.040485435652,4174.752311825484
2022-03-11 12:00:00,4731.07109085387,8966.700822714953,962.8950147043327,4517.573839388771,4239.9603668345935,2998.183617471141,1605.9160939231722,1368.9185248092745,2855.7718766598337,4174.752311825484
2022-03-11 13:00:00,4731.07109085387,8966.700822714953,969.4676769207446,4517.573839388771,4211.2148728221555,2977.8569488781163,1595.02852718471,1368.9185248092745,2836.4107113943433,4174.752311825484
2022-03-11 14:00:00,4731.07109085387,8966.700822714953,980.6238066896825,4517.573839388771,4163.305716134761,2943.9791678897427,1576.882582620607,1368.9185248092745,2804.1421026185267,4174.752311825484
2022-03-11 15:00:00,4731.07109085387,8966.700822714953,981.7535576190487,4517.573839388771,4158.51480046602,2940.5913897909045,1575.0679881641963,1368.9185248092745,2800.9152417409446,4174.752311825484
2022-03-11 16:00:00,4731.07109085387,8966.700822714953,981.7535576190487,4517.573839388771,4120.187475116102,2913.4891650002046,1560.5512325129132,1368.9185248092745,2775.10035472029,4174.752311825484
