Date,PSG,CELR,TRU,ASR,COTI,OG,EOS,DCR,BTC,MDT
2022-11-26 20:00:00,246.70499021713385,320.8549025370066,218.17399381883945,116.4285658996323,148.4208245674654,97.73728023800413,111.67946168472727,61.211401522994684,89.2323154020385,79.15495498940282
2022-11-26 21:00:00,246.70499021713385,320.8549025370066,219.2511916614695,115.85654346701884,148.4208245674654,97.73728023800413,111.67946168472727,61.513622647111255,89.2323154020385,79.54576942725404
2022-11-26 22:00:00,246.70499021713385,320.8549025370066,216.69984521195542,117.220596960174,148.4208245674654,97.73728023800413,111.67946168472727,60.79781097216364,89.2323154020385,78.62012421244741
2022-11-26 23:00:00,246.70499021713385,320.8549025370066,217.18900964809987,116.95658660666005,148.4208245674654,97.51715122845904,111.67946168472727,60.93505208045298,89.2323154020385,78.79759627613242
2022-11-27 00:00:00,246.70499021713385,320.8549025370066,212.94296851517862,119.28867806269957,148.4208245674654,99.46162414610704,111.67946168472727,59.74377293612836,89.2323154020385,77.25710472222794
2022-11-27 01:00:00,246.70499021713385,320.8549025370066,212.94296851517862,119.59669014179913,148.4208245674654,99.71844132390962,111.67946168472727,59.74377293612836,89.46271975755833,77.25710472222794
2022-11-27 02:00:00,246.70499021713385,320.8549025370066,212.94296851517862,118.05662974630135,148.4208245674654,98.43435543489679,111.67946168472727,59.74377293612836,88.31069797995916,77.25710472222794
2022-11-27 03:00:00,246.70499021713385,320.8549025370066,212.94296851517862,118.1886349230583,148.4208245674654,98.54441993966931,111.67946168472727,59.74377293612836,88.40944270375337,77.25710472222794
2022-11-27 04:00:00,246.70499021713385,320.8549025370066,212.94296851517862,118.40864355098655,148.4208245674654,98.72786078095686,111.67946168472727,59.85498621411816,88.5740172434104,77.25710472222794
2022-11-27 05:00:00,246.70499021713385,320.8549025370066,212.94296851517862,119.42068323945654,148.4208245674654,99.57168865087958,111.67946168472727,60.36656729287132,89.33106012583272,77.25710472222794
2022-11-27 06:00:00,246.70499021713385,320.8549025370066,212.94296851517862,117.96862629513005,146.61614983985802,98.36097909838178,111.67946168472727,59.63255965813855,88.24486816409635,77.25710472222794
2022-11-27 07:00:00,246.70499021713385,320.8549025370066,212.94296851517862,117.70461594161615,146.28802716211126,98.14085008883673,111.67946168472727,59.49910372455077,88.04737871650794,77.43039168609087
2022-11-27 08:00:00,246.70499021713385,320.8549025370066,212.94296851517862,117.79261939278744,146.28802716211126,98.21422642535173,111.67946168472727,59.543589035746685,88.11320853237073,77.3725430557688
2022-11-27 09:00:00,246.70499021713385,320.8549025370066,213.65887688896893,118.1886349230583,146.28802716211126,98.54441993966931,111.67946168472727,59.74377293612836,88.40944270375337,77.1132903053958
2022-11-27 10:00:00,246.70499021713385,320.8549025370066,211.1929702681357,116.8245814299031,146.28802716211126,97.40708672368653,111.67946168472727,59.0542506125915,87.38908055787982,78.01367147280344
2022-11-27 11:00:00,246.70499021713385,320.13144165191756,211.67024251732923,117.08859178341702,146.28802716211126,97.40708672368653,111.67946168472727,59.0542506125915,87.38908055787982,77.8377669148039
2022-11-27 12:00:00,246.70499021713385,319.05234690477613,212.38615089111957,117.4846073136879,146.28802716211126,97.40708672368653,111.67946168472727,59.0542506125915,87.38908055787982,77.57539241958541
2022-11-27 13:00:00,246.70499021713385,317.98050251427856,213.10205926490988,117.88062284395876,146.28802716211126,97.40708672368653,111.67946168472727,59.0542506125915,87.38908055787982,77.31478079891492
