time_entered,time_exited,log_return,trade_type,reference_coin,trading_coin,strategy_type
2023-01-18T23:00:00,2023-01-19T07:00:00,0.01728864992827275,long,1000LUNC,IOTA,both
2023-01-19T09:00:00,2023-01-19T13:00:00,0.02246188185494469,short,1000LUNC,IOTA,both
2023-01-19T14:00:00,2023-01-20T06:00:00,0.010322038069545953,long,1000LUNC,IOTA,both
2023-01-20T17:00:00,2023-01-21T09:00:00,-0.045029654108422294,short,1000LUNC,IOTA,both
2023-01-21T15:00:00,2023-01-21T21:00:00,0.02683809022030017,long,1000LUNC,IOTA,both
2023-01-22T08:00:00,2023-01-24T17:00:00,-0.035060558625731444,short,1000LUNC,IOTA,both
2023-01-24T22:00:00,2023-01-25T18:00:00,-0.002717392976499915,long,1000LUNC,IOTA,both
2023-01-25T21:00:00,2023-01-28T03:00:00,-0.05693976291527745,short,1000LUNC,IOTA,both
2023-01-28T04:00:00,2023-01-28T23:00:00,-0.021272960698909656,long,1000LUNC,IOTA,both
2023-01-29T09:00:00,2023-01-29T22:00:00,-0.0016694494695411572,short,1000LUNC,IOTA,both
2023-01-30T09:00:00,2023-01-30T23:00:00,-0.016411989577553465,long,1000LUNC,IOTA,both
2023-01-31T11:00:00,2023-01-31T22:00:00,0.024956731973867673,long,1000LUNC,IOTA,both
2023-02-01T21:00:00,2023-02-02T22:00:00,-0.0004318721725513779,short,1000LUNC,IOTA,both
2023-02-03T02:00:00,2023-02-04T00:00:00,0.031252543504104315,long,1000LUNC,IOTA,both
2023-02-04T05:00:00,2023-02-05T18:00:00,0.014790043526327516,short,1000LUNC,IOTA,both
2023-02-05T19:00:00,2023-02-06T00:00:00,0.037375754965137654,long,1000LUNC,IOTA,both
2023-02-06T01:00:00,2023-02-06T04:00:00,0.0008183306512319301,short,1000LUNC,IOTA,both
2023-02-06T18:00:00,2023-02-06T21:00:00,0.015422383599194194,short,1000LUNC,IOTA,both
2023-02-07T00:00:00,2023-02-07T07:00:00,0.01000425184234107,long,1000LUNC,IOTA,both
2023-02-07T20:00:00,2023-02-08T14:00:00,0.004448945659731116,short,1000LUNC,IOTA,both
2023-02-09T15:00:00,2023-02-10T18:00:00,0.052230083014167,short,1000LUNC,IOTA,both
2023-02-11T00:00:00,2023-02-11T13:00:00,0.014712511162012476,long,1000LUNC,IOTA,both
2023-02-13T06:00:00,2023-02-14T07:00:00,-0.0269464369949346,long,1000LUNC,IOTA,both
2023-02-14T23:00:00,2023-02-16T22:00:00,-0.011096998211731013,short,1000LUNC,IOTA,both
2023-02-16T23:00:00,2023-02-17T03:00:00,0.026567027384721706,long,1000LUNC,IOTA,both
2023-02-17T18:00:00,2023-02-18T16:00:00,-0.008120223262926916,short,1000LUNC,IOTA,both
2023-02-19T10:00:00,2023-02-21T02:00:00,-0.05182907778512931,short,1000LUNC,IOTA,both
2023-02-21T08:00:00,2023-02-22T12:00:00,-0.038096104914466106,long,1000LUNC,IOTA,both
2023-02-24T05:00:00,2023-02-24T09:00:00,-0.023113509687159754,short,1000LUNC,IOTA,both
2023-02-24T09:00:00,2023-02-24T09:00:00,0.0,short,1000LUNC,IOTA,both
2023-02-24T19:00:00,2023-02-25T04:00:00,0.04606591189163211,long,1000LUNC,IOTA,both
2023-02-25T06:00:00,2023-02-25T21:00:00,0.044780695705156554,short,1000LUNC,IOTA,both
2023-02-26T01:00:00,2023-02-27T13:00:00,-0.0023866359777308553,long,1000LUNC,IOTA,both
2023-02-28T05:00:00,2023-03-01T06:00:00,0.0036892847747958643,long,1000LUNC,IOTA,both
2023-03-01T12:00:00,2023-03-02T01:00:00,0.010115400837176871,short,1000LUNC,IOTA,both
2023-03-02T07:00:00,2023-03-03T01:00:00,-0.11485883195664812,long,1000LUNC,IOTA,both
2023-03-03T01:00:00,2023-03-03T01:00:00,0.0,long,1000LUNC,IOTA,both
2023-03-06T12:00:00,2023-03-07T07:00:00,0.0032995551971654754,long,1000LUNC,IOTA,both
2023-03-07T10:00:00,2023-03-07T17:00:00,0.01304051322030048,long,1000LUNC,IOTA,both
2023-03-08T13:00:00,2023-03-09T16:00:00,-0.009905975010880355,short,1000LUNC,IOTA,both
2023-03-09T17:00:00,2023-03-10T14:00:00,-0.09521146799337649,long,1000LUNC,IOTA,both
2023-03-11T17:00:00,2023-03-12T15:00:00,-0.017121873596751443,short,1000LUNC,IOTA,both
2023-03-13T15:00:00,2023-03-14T14:00:00,-0.05326565817941507,short,1000LUNC,IOTA,both
2023-03-15T00:00:00,2023-03-15T05:00:00,0.012303641195356952,short,1000LUNC,IOTA,both
2023-03-15T15:00:00,2023-03-15T20:00:00,0.008302856000600625,long,1000LUNC,IOTA,both
2023-03-16T16:00:00,2023-03-18T09:00:00,-0.07089944975753301,short,1000LUNC,IOTA,both
2023-03-18T10:00:00,2023-03-19T10:00:00,-0.016151091327882956,long,1000LUNC,IOTA,both
2023-03-20T00:00:00,2023-03-20T16:00:00,0.03388602601564641,short,1000LUNC,IOTA,both
2023-03-21T17:00:00,2023-03-22T00:00:00,0.014712909080659168,short,1000LUNC,IOTA,both
2023-03-22T19:00:00,2023-03-23T08:00:00,0.05109357399543465,long,1000LUNC,IOTA,both
2023-03-23T13:00:00,2023-03-24T05:00:00,-0.018392407170896633,short,1000LUNC,IOTA,both
2023-03-25T09:00:00,2023-03-26T07:00:00,0.025773369225139044,long,1000LUNC,IOTA,both
2023-03-26T09:00:00,2023-03-27T01:00:00,0.016766859857067107,short,1000LUNC,IOTA,both
2023-03-27T09:00:00,2023-03-28T03:00:00,-0.028714844174703408,long,1000LUNC,IOTA,both
2023-03-28T15:00:00,2023-03-30T06:00:00,-0.03863348626793596,short,1000LUNC,IOTA,both
2023-04-01T00:00:00,2023-04-01T18:00:00,-0.00634922767865878,short,1000LUNC,IOTA,both
2023-04-02T14:00:00,2023-04-02T23:00:00,-0.0013898542890543016,long,1000LUNC,IOTA,both
2023-04-04T04:00:00,2023-04-05T01:00:00,-0.021234138679583174,short,1000LUNC,IOTA,both
2023-04-05T05:00:00,2023-04-05T17:00:00,0.02717921811646866,short,1000LUNC,IOTA,both
2023-04-05T22:00:00,2023-04-06T18:00:00,-0.001751313932735063,short,1000LUNC,IOTA,both
2023-04-06T21:00:00,2023-04-07T05:00:00,0.04030881554225212,long,1000LUNC,IOTA,both
2023-04-07T11:00:00,2023-04-07T19:00:00,-0.0026560440581162963,long,1000LUNC,IOTA,both
2023-04-07T23:00:00,2023-04-08T04:00:00,0.013216051391526462,short,1000LUNC,IOTA,both
2023-04-08T10:00:00,2023-04-08T18:00:00,0.020719277658275456,short,1000LUNC,IOTA,both
2023-04-08T19:00:00,2023-04-09T18:00:00,-0.015226447331291464,long,1000LUNC,IOTA,both
2023-04-10T19:00:00,2023-04-11T12:00:00,-0.0031076606586339,short,1000LUNC,IOTA,both
2023-04-11T17:00:00,2023-04-11T20:00:00,0.00796112121586742,long,1000LUNC,IOTA,both
2023-04-12T00:00:00,2023-04-12T14:00:00,-0.009959339902758466,long,1000LUNC,IOTA,both
2023-04-12T18:00:00,2023-04-13T12:00:00,0.00815961009462588,long,1000LUNC,IOTA,both
2023-04-14T00:00:00,2023-04-14T04:00:00,-0.004401415556210622,short,1000LUNC,IOTA,both
2023-04-15T01:00:00,2023-04-15T07:00:00,0.008028589066574375,short,1000LUNC,IOTA,both
2023-04-16T17:00:00,2023-04-17T13:00:00,0.02612501911381977,short,1000LUNC,IOTA,both
2023-04-19T08:00:00,2023-04-19T23:00:00,-0.009597002641009544,long,1000LUNC,IOTA,both
2023-04-20T09:00:00,2023-04-21T11:00:00,0.02546378273091787,short,1000LUNC,IOTA,both
