coin,earliest_date,latest_date,data_span_days
AAVE,2020-10-15 03:00:00,2025-08-29 07:00:00,1779
FIL,2020-10-15 17:00:00,2025-08-29 07:00:00,1778
INJ,2020-10-21 04:00:00,2025-08-29 07:00:00,1773
AUDIO,2020-10-23 19:00:00,2025-08-29 07:00:00,1770
CTK,2020-10-27 08:00:00,2025-08-29 07:00:00,1766
AXS,2020-11-04 13:00:00,2025-08-29 07:00:00,1758
STRAX,2020-11-18 03:00:00,2025-08-29 07:00:00,1745
ROSE,2020-11-19 08:00:00,2025-08-29 07:00:00,1743
AVA,2020-11-24 13:00:00,2025-08-29 07:00:00,1738
SKL,2020-12-01 01:00:00,2025-08-29 07:00:00,1732
GRT,2020-12-17 20:00:00,2025-08-29 07:00:00,1715
PSG,2020-12-21 06:00:00,2025-08-29 07:00:00,1712
JUV,2020-12-21 06:00:00,2025-08-29 07:00:00,1712
1INCH,2020-12-25 05:00:00,2025-08-29 07:00:00,1708
ASR,2020-12-30 06:00:00,2025-08-29 07:00:00,1703
OG,2020-12-30 06:00:00,2025-08-29 07:00:00,1703
ATM,2020-12-30 06:00:00,2025-08-29 07:00:00,1703
CELO,2021-01-05 08:00:00,2025-08-29 07:00:00,1696
RIF,2021-01-07 13:00:00,2025-08-29 07:00:00,1694
TRU,2021-01-19 07:00:00,2025-08-29 07:00:00,1683
CKB,2021-01-26 12:00:00,2025-08-29 07:00:00,1675
TWT,2021-01-27 08:00:00,2025-08-29 07:00:00,1674
SFP,2021-02-08 13:00:00,2025-08-29 07:00:00,1662
CAKE,2021-02-19 06:00:00,2025-08-29 07:00:00,1652
DODO,2021-02-19 10:00:00,2025-08-29 07:00:00,1651
ACM,2021-02-24 11:00:00,2025-08-29 07:00:00,1646
FIS,2021-03-03 08:00:00,2025-08-29 07:00:00,1639
OM,2021-03-08 09:00:00,2025-08-29 07:00:00,1634
POND,2021-03-09 08:00:00,2025-08-29 07:00:00,1633
DEGO,2021-03-10 11:00:00,2025-08-29 07:00:00,1632
ALICE,2021-03-15 06:00:00,2025-08-29 07:00:00,1628
PERP,2021-03-19 08:00:00,2025-08-29 07:00:00,1623
SUPER,2021-03-25 10:00:00,2025-08-29 07:00:00,1617
CFX,2021-03-29 11:00:00,2025-08-29 07:00:00,1613
TKO,2021-04-07 13:00:00,2025-08-29 07:00:00,1604
PUNDIX,2021-04-09 04:00:00,2025-08-29 07:00:00,1603
TLM,2021-04-13 06:00:00,2025-08-29 07:00:00,1599
BAR,2021-04-21 11:00:00,2025-08-29 07:00:00,1590
FORTH,2021-04-23 09:00:00,2025-08-29 07:00:00,1588
SLP,2021-04-30 12:00:00,2025-08-29 07:00:00,1581
BAKE,2021-04-30 12:00:00,2025-08-29 07:00:00,1581
SHIB,2021-05-10 11:00:00,2025-08-29 07:00:00,1571
ICP,2021-05-11 01:00:00,2025-08-29 07:00:00,1571
AR,2021-05-14 12:00:00,2025-08-29 07:00:00,1567
MASK,2021-05-25 06:00:00,2025-08-29 07:00:00,1557
LPT,2021-05-28 05:00:00,2025-08-29 07:00:00,1554
XVG,2021-06-06 10:00:00,2025-08-29 07:00:00,1544
ATA,2021-06-07 06:00:00,2025-08-29 07:00:00,1544
GTC,2021-06-10 10:00:00,2025-08-29 07:00:00,1540
PHA,2021-06-25 10:00:00,2025-08-29 07:00:00,1525
MLN,2021-07-05 06:00:00,2025-08-29 07:00:00,1516
DEXE,2021-07-23 10:00:00,2025-08-29 07:00:00,1497
C98,2021-07-23 12:00:00,2025-08-29 07:00:00,1497
QNT,2021-07-29 06:00:00,2025-08-29 07:00:00,1492
FLOW,2021-07-30 13:00:00,2025-08-29 07:00:00,1490
MINA,2021-08-10 06:00:00,2025-08-29 07:00:00,1480
RAY,2021-08-10 06:00:00,2025-08-29 07:00:00,1480
FARM,2021-08-11 08:00:00,2025-08-29 07:00:00,1478
QUICK,2021-08-13 12:00:00,2025-08-29 07:00:00,1476
MBOX,2021-08-19 08:00:00,2025-08-29 07:00:00,1470
REQ,2021-08-20 10:00:00,2025-08-29 07:00:00,1469
GHST,2021-08-20 10:00:00,2025-08-29 07:00:00,1469
WAXP,2021-08-23 06:00:00,2025-08-29 07:00:00,1467
GNO,2021-08-30 06:00:00,2025-08-29 07:00:00,1460
XEC,2021-09-03 10:00:00,2025-08-29 07:00:00,1455
DYDX,2021-09-09 02:00:00,2025-08-29 07:00:00,1450
IDEX,2021-09-09 08:00:00,2025-08-29 07:00:00,1449
USDP,2021-09-10 04:00:00,2025-08-29 07:00:00,1449
GALA,2021-09-13 06:00:00,2025-08-29 07:00:00,1446
ILV,2021-09-22 06:00:00,2025-08-29 07:00:00,1437
YGG,2021-09-24 06:00:00,2025-08-29 07:00:00,1435
DF,2021-09-24 10:00:00,2025-08-29 07:00:00,1434
SYS,2021-09-24 10:00:00,2025-08-29 07:00:00,1434
FIDA,2021-09-30 12:00:00,2025-08-29 07:00:00,1428
AGLD,2021-10-05 07:00:00,2025-08-29 07:00:00,1424
RAD,2021-10-07 07:00:00,2025-08-29 07:00:00,1422
RARE,2021-10-11 06:00:00,2025-08-29 07:00:00,1418
LAZIO,2021-10-21 12:00:00,2025-08-29 07:00:00,1407
CHESS,2021-10-22 06:00:00,2025-08-29 07:00:00,1407
ADX,2021-10-29 10:00:00,2025-08-29 07:00:00,1399
AUCTION,2021-10-29 10:00:00,2025-08-29 07:00:00,1399
MOVR,2021-11-08 06:00:00,2025-08-29 07:00:00,1390
ENS,2021-11-10 07:00:00,2025-08-29 07:00:00,1388
CITY,2021-11-10 08:00:00,2025-08-29 07:00:00,1387
QI,2021-11-15 08:00:00,2025-08-29 07:00:00,1382
PORTO,2021-11-16 12:00:00,2025-08-29 07:00:00,1381
POWR,2021-11-17 06:00:00,2025-08-29 07:00:00,1381
JASMY,2021-11-22 12:00:00,2025-08-29 07:00:00,1375
AMP,2021-11-23 06:00:00,2025-08-29 07:00:00,1375
PYR,2021-11-26 08:00:00,2025-08-29 07:00:00,1371
ALCX,2021-11-30 06:00:00,2025-08-29 07:00:00,1368
SANTOS,2021-12-01 11:00:00,2025-08-29 07:00:00,1366
BICO,2021-12-09 06:00:00,2025-08-29 07:00:00,1359
FLUX,2021-12-10 06:00:00,2025-08-29 07:00:00,1358
FXS,2021-12-10 09:00:00,2025-08-29 07:00:00,1357
VOXEL,2021-12-14 12:00:00,2025-08-29 07:00:00,1353
HIGH,2021-12-17 07:00:00,2025-08-29 07:00:00,1351
PEOPLE,2021-12-23 06:00:00,2025-08-29 07:00:00,1345
CVX,2021-12-23 14:00:00,2025-08-29 07:00:00,1344
SPELL,2021-12-24 08:00:00,2025-08-29 07:00:00,1343
JOE,2021-12-28 11:00:00,2025-08-29 07:00:00,1339
BAL,2022-01-01 00:00:00,2024-12-31 23:00:00,1095
STPT,2022-01-01 00:00:00,2024-12-31 23:00:00,1095
NULS,2022-01-01 00:00:00,2024-12-31 23:00:00,1095
KMD,2022-01-01 00:00:00,2024-12-31 23:00:00,1095
FIRO,2022-01-01 00:00:00,2024-12-31 23:00:00,1095
