trading_coin,reference_coin,trade_type,time_entered,time_exited,log_return
1000LUNC,IOTA,long,2024-11-14 08:00:00,2024-11-14 15:00:00,-0.048062107827736
1000LUNC,IOTA,long,2024-11-15 13:00:00,2024-11-16 10:00:00,0.0863123206871319
1000LUNC,IOTA,short,2024-11-16 11:00:00,2024-11-16 19:00:00,0.0036870352593905
1000LUNC,IOTA,long,2024-11-17 10:00:00,2024-11-17 14:00:00,-0.0116055461203078
1000LUNC,IOTA,short,2024-11-17 16:00:00,2024-11-18 03:00:00,0.0042116644539874
1000LUNC,IOTA,long,2024-11-18 06:00:00,2024-11-19 04:00:00,-0.0193970626580005
1000LUNC,IOTA,short,2024-11-19 14:00:00,2024-11-20 10:00:00,0.0237386059778988
1000LUNC,IOTA,short,2024-11-21 14:00:00,2024-11-22 07:00:00,-0.0282012402635454
1000LUNC,IOTA,long,2024-11-22 08:00:00,2024-11-23 19:00:00,0.071040329549308
1000LUNC,IOTA,short,2024-11-23 22:00:00,2024-11-24 03:00:00,-0.0237062570936679
1000LUNC,IOTA,short,2024-11-24 09:00:00,2024-11-24 18:00:00,0.0468557095154038
1000LUNC,IOTA,long,2024-11-24 22:00:00,2024-11-25 02:00:00,0.0040955688647369
1000LUNC,IOTA,long,2024-11-25 06:00:00,2024-11-26 02:00:00,-0.0155565094500315
1000LUNC,IOTA,short,2024-11-26 12:00:00,2024-11-26 22:00:00,-0.0254751816617613
1000LUNC,IOTA,short,2024-11-28 00:00:00,2024-11-28 11:00:00,0.0318174586451858
1000LUNC,IOTA,short,2024-11-28 20:00:00,2024-11-29 00:00:00,0.0200047831916686
1000LUNC,IOTA,long,2024-11-29 02:00:00,2024-11-30 02:00:00,0.03731536182197
1000LUNC,IOTA,long,2024-11-30 05:00:00,2024-11-30 16:00:00,0.0250406784463893
1000LUNC,IOTA,short,2024-11-30 18:00:00,2024-12-01 10:00:00,0.0126161228091684
1000LUNC,IOTA,short,2024-12-01 10:00:00,2024-12-01 10:00:00,0.0
1000LUNC,IOTA,short,2024-12-02 23:00:00,2024-12-03 02:00:00,-0.0164569905161584
1000LUNC,IOTA,long,2024-12-03 03:00:00,2024-12-03 19:00:00,0.09183789939052
1000LUNC,IOTA,long,2024-12-03 21:00:00,2024-12-03 22:00:00,0.0309927961411304
1000LUNC,IOTA,long,2024-12-03 22:00:00,2024-12-03 22:00:00,0.0
1000LUNC,IOTA,short,2024-12-04 00:00:00,2024-12-04 00:00:00,0.0
1000LUNC,IOTA,short,2024-12-04 09:00:00,2024-12-05 07:00:00,0.0504053262960538
1000LUNC,IOTA,long,2024-12-05 10:00:00,2024-12-05 13:00:00,0.0336124865497915
1000LUNC,IOTA,short,2024-12-05 14:00:00,2024-12-06 12:00:00,0.0774674984779234
1000LUNC,IOTA,long,2024-12-06 22:00:00,2024-12-08 02:00:00,-0.0363308179419308
1000LUNC,IOTA,long,2024-12-09 03:00:00,2024-12-10 00:00:00,-0.1589313595183548
1000LUNC,IOTA,short,2024-12-11 09:00:00,2024-12-11 13:00:00,-0.00692576835296
1000LUNC,IOTA,long,2024-12-12 05:00:00,2024-12-13 00:00:00,-0.0318344762217214
1000LUNC,IOTA,short,2024-12-14 10:00:00,2024-12-15 23:00:00,0.0020113985996854
1000LUNC,IOTA,long,2024-12-16 16:00:00,2024-12-16 20:00:00,0.0125129604435859
1000LUNC,IOTA,short,2024-12-21 00:00:00,2024-12-22 01:00:00,0.0203639398012104
1000LUNC,IOTA,short,2024-12-23 13:00:00,2024-12-23 19:00:00,0.009114075883588
1000LUNC,IOTA,long,2024-12-24 11:00:00,2024-12-25 01:00:00,0.0343939135975468
1000LUNC,IOTA,short,2024-12-27 06:00:00,2024-12-27 09:00:00,-0.0009363695087228
1000LUNC,IOTA,short,2024-12-27 12:00:00,2024-12-28 01:00:00,0.0508993766492984
1000LUNC,IOTA,long,2024-12-28 22:00:00,2024-12-29 08:00:00,-0.0177844457189711
1000LUNC,IOTA,long,2025-01-01 12:00:00,2025-01-02 12:00:00,0.0510232844779193
1000LUNC,IOTA,long,2025-01-02 22:00:00,2025-01-03 15:00:00,0.034682565190058
1000LUNC,IOTA,long,2025-01-04 02:00:00,2025-01-04 07:00:00,0.0073088072655073
1000LUNC,IOTA,long,2025-01-05 04:00:00,2025-01-05 16:00:00,0.0119568946247286
1000LUNC,IOTA,long,2025-01-05 16:00:00,2025-01-05 16:00:00,0.0
1000LUNC,IOTA,long,2025-01-06 08:00:00,2025-01-07 01:00:00,0.0257014691123599
1000LUNC,IOTA,long,2025-01-07 21:00:00,2025-01-08 07:00:00,-0.0151759352842832
1000LUNC,IOTA,long,2025-01-10 17:00:00,2025-01-11 00:00:00,0.0014430711052063
1000LUNC,IOTA,long,2025-01-11 01:00:00,2025-01-11 12:00:00,-9.670712255493625e-05
1000LUNC,IOTA,long,2025-01-12 04:00:00,2025-01-12 15:00:00,0.0011650486754696
1000LUNC,IOTA,long,2025-01-14 13:00:00,2025-01-15 18:00:00,0.036202172479359
1000LUNC,IOTA,long,2025-01-16 04:00:00,2025-01-17 06:00:00,0.011542075002966
1000LUNC,IOTA,short,2025-01-17 08:00:00,2025-01-17 19:00:00,0.0219435646753569
1000LUNC,IOTA,short,2025-01-17 22:00:00,2025-01-18 03:00:00,0.0476234934815319
1000LUNC,IOTA,long,2025-01-18 09:00:00,2025-01-20 16:00:00,-0.1032085112669274
1000LUNC,IOTA,short,2025-01-21 07:00:00,2025-01-21 19:00:00,-0.0488068979105112
1000LUNC,IOTA,long,2025-01-22 18:00:00,2025-01-24 03:00:00,-0.0348132623358414
1000LUNC,IOTA,long,2025-01-24 12:00:00,2025-01-25 12:00:00,-0.0341561602984332
1000LUNC,IOTA,short,2025-01-31 15:00:00,2025-02-01 02:00:00,0.0297708040073764
1000LUNC,IOTA,long,2025-02-01 10:00:00,2025-02-02 01:00:00,-0.0347825847438765
1000LUNC,IOTA,long,2025-02-03 01:00:00,2025-02-03 06:00:00,0.0720123887948492
1000LUNC,IOTA,short,2025-02-03 17:00:00,2025-02-04 14:00:00,-0.0158363812629014
1000LUNC,IOTA,short,2025-02-05 05:00:00,2025-02-06 01:00:00,0.0258958774424339
1000LUNC,IOTA,long,2025-02-07 14:00:00,2025-02-07 22:00:00,-0.037029744070282
1000LUNC,IOTA,short,2025-02-08 16:00:00,2025-02-10 07:00:00,-0.0372659472889671
1000LUNC,IOTA,long,2025-02-10 09:00:00,2025-02-10 17:00:00,0.0208787793073752
1000LUNC,IOTA,short,2025-02-10 18:00:00,2025-02-11 05:00:00,0.0011992805754821
1000LUNC,IOTA,short,2025-02-11 21:00:00,2025-02-13 07:00:00,-0.0643120462187003
1000LUNC,IOTA,long,2025-02-14 08:00:00,2025-02-14 15:00:00,0.0309002677595936
1000LUNC,IOTA,short,2025-02-15 11:00:00,2025-02-16 08:00:00,0.0412811792666924
1000LUNC,IOTA,short,2025-02-17 06:00:00,2025-02-17 11:00:00,0.00908573656968
1000LUNC,IOTA,long,2025-02-21 13:00:00,2025-02-21 16:00:00,-0.0123114365240417
1000LUNC,IOTA,long,2025-02-22 22:00:00,2025-02-24 07:00:00,-0.0537965852740365
1000LUNC,IOTA,short,2025-02-25 03:00:00,2025-02-25 23:00:00,-0.0265442592328117
1000LUNC,IOTA,long,2025-02-27 00:00:00,2025-02-27 08:00:00,0.0253513945228084
1000LUNC,IOTA,long,2025-03-01 23:00:00,2025-03-02 14:00:00,-0.0097400934854601
1000LUNC,IOTA,long,2025-03-02 16:00:00,2025-03-03 08:00:00,-0.0398742842160869
1000LUNC,IOTA,short,2025-03-03 11:00:00,2025-03-04 00:00:00,0.090140200187062
1000LUNC,IOTA,long,2025-03-05 07:00:00,2025-03-05 15:00:00,0.0115644358031843
1000LUNC,IOTA,short,2025-03-07 18:00:00,2025-03-08 15:00:00,0.0632956982786845
