Date,FUN,DASH,TROY,BTC,ZEC,ETC,STRAX,OXT,BNT,YFI
2021-01-31 22:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-01-31 23:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 00:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 01:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 02:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 03:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 04:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 05:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 06:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 07:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 08:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 09:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 10:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 11:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 12:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 13:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 14:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 15:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 16:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 17:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 18:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 19:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 20:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 21:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 22:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-01 23:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 00:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 01:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 02:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 03:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 04:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 05:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 06:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 07:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 08:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 09:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 10:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 11:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 12:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 13:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 14:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 15:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 16:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 17:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 18:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 19:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 20:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 21:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 22:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-02 23:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-03 00:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-03 01:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-03 02:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-03 03:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-03 04:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-03 05:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-03 06:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-03 07:00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2021-02-03 08:00:00,1000.0,1032.941176470588,1032.941176470588,1000.0,1000.0,968.109339407745,1000.0,968.109339407745,968.109339407745,1000.0
2021-02-03 09:00:00,1000.0,1004.8640915593708,1004.8640915593708,1000.0,1000.0,995.1594533029611,1000.0,995.1594533029611,995.1594533029611,1000.0
2021-02-03 10:00:00,1000.0,1039.0532544378696,1039.0532544378696,1000.0,1000.0,962.4145785876995,1000.0,962.4145785876995,962.4145785876995,1000.0
2021-02-03 11:00:00,1000.0,1041.2096056922621,1041.2096056922621,1000.0,1000.0,960.4214123006833,1000.0,960.4214123006833,960.4214123006833,1002.075303883783
2021-02-03 12:00:00,1000.0,1043.065043065043,1043.065043065043,1000.0,1000.0,958.7129840546697,1000.0,958.7129840546697,960.4214123006833,1003.8610038610038
2021-02-03 13:00:00,969.4788367405703,1011.2294845954506,1011.2294845954506,1000.0,1000.0,958.7129840546697,1000.0,958.7129840546697,960.4214123006833,973.221998272387
2021-02-03 14:00:00,962.0000000000002,1003.4285714285716,1003.4285714285716,1000.0,1000.0,958.7129840546697,1000.0,958.7129840546697,960.4214123006833,965.714285714286
2021-02-03 15:00:00,979.9185098952271,1022.1187427240978,1022.1187427240978,1000.0,1000.0,958.7129840546697,1000.0,958.7129840546697,960.4214123006833,983.7019790454018
2021-02-03 16:00:00,976.7914128227444,1018.8569770815201,1018.8569770815201,996.8088192631272,1000.0,958.7129840546697,1000.0,958.7129840546697,960.4214123006833,980.5628082390485
2021-02-03 17:00:00,978.7790697674419,1020.9302325581396,1020.9302325581396,998.8372093023255,1000.0,958.7129840546697,1000.0,958.7129840546697,960.4214123006833,982.5581395348838
2021-02-03 18:00:00,955.4483541430194,996.594778660613,996.594778660613,975.0283768444949,1000.0,958.7129840546697,1000.0,958.7129840546697,937.5282798848896,959.1373439273555
2021-02-03 19:00:00,934.4990285872883,996.594778660613,974.7432694976408,953.6497363308353,1000.0,958.7129840546697,1000.0,958.7129840546697,937.5282798848896,959.1373439273555
2021-02-03 20:00:00,934.4990285872883,996.594778660613,966.1623108665749,953.6497363308353,1000.0,958.7129840546697,1000.0,958.7129840546697,937.5282798848896,959.1373439273555
2021-02-03 21:00:00,934.4990285872883,996.594778660613,991.4127701601992,953.6497363308353,1000.0,958.7129840546697,1026.1348005502061,958.7129840546697,937.5282798848896,959.1373439273555
2021-02-03 22:00:00,934.4990285872883,996.594778660613,982.3757636761653,953.6497363308353,990.8847184986596,949.9740453260214,1016.7812929848692,949.9740453260214,937.5282798848896,959.1373439273555
2021-02-03 23:00:00,934.4990285872883,996.594778660613,953.9357726822935,953.6497363308353,962.1983914209114,922.4720910917453,987.3452544704263,922.4720910917453,965.479109070647,959.1373439273555
2021-02-04 00:00:00,934.4990285872883,996.594778660613,949.1514751319227,958.4567078385237,957.3726541554959,922.4720910917453,982.3933975240714,922.4720910917453,970.3457077722073,959.1373439273555
2021-02-04 01:00:00,934.4990285872883,997.4327227009666,948.354092206861,959.2625851152936,956.5683646112601,923.2477122445689,981.5680880330125,922.4720910917453,971.1615814054237,959.1373439273555
2021-02-04 02:00:00,934.4990285872883,997.4327227009666,930.5458735471469,977.6203666642009,938.6058981233244,940.9162631501348,963.1361760660247,922.4720910917453,989.7470786788208,959.1373439273555
2021-02-04 03:00:00,934.4990285872883,1030.7659499377598,961.6438076245579,946.0057776924731,969.9731903485256,940.9162631501348,995.3232462173315,922.4720910917453,957.7403323533863,959.1373439273555
2021-02-04 04:00:00,934.4990285872883,1039.8827300367118,970.149225491884,937.7120284085939,978.5522788203754,940.9162631501348,1004.1265474552956,922.4720910917453,949.343704782069,959.1373439273555
2021-02-04 05:00:00,934.4990285872883,1033.0451449624975,963.7701620913894,943.9186165723575,972.1179624664878,940.9162631501348,997.5240715268225,922.4720910917453,955.6272814270691,952.8306874193398
2021-02-04 06:00:00,934.4990285872883,1043.3015225738188,973.3387571921314,934.6392418600129,981.7694369973192,940.9162631501348,1007.4277854195324,922.4720910917453,946.2328024179551,962.2906721813633
2021-02-04 07:00:00,900.8141919478775,1005.6948046656418,938.2539084894112,969.588924558461,946.3806970509385,907.0001116657497,971.1141678129298,922.4720910917453,981.6160120267853,927.6040613872781
2021-02-04 08:00:00,905.1523906059834,1010.53809409321,942.7724117314281,964.9418955994834,950.9383378016087,911.368100872072,975.7909215955983,922.4720910917453,976.9113398518613,932.0712764137891
2021-02-04 09:00:00,921.4844326129703,1028.771654291114,959.7832474660802,947.8396299339153,968.0965147453082,927.8122955311676,993.3975240715267,922.4720910917453,959.5969322776384,948.8890271018302
2021-02-04 10:00:00,903.8764498241877,1009.1135972027489,941.4434401896585,966.304038309251,949.5978552278822,910.0833981643302,974.4154057771666,922.4720910917453,978.2903790103195,930.757389641286
2021-02-04 11:00:00,919.1877392057379,1026.2075598882839,957.391098690895,950.207913295771,965.6836461126006,925.4998306572326,990.9215955983494,907.106092905875,978.2903790103195,946.5240309113246
2021-02-04 12:00:00,893.92411172618,998.0025214571511,931.0774621638548,977.0622048790657,939.142091152815,900.0627170439438,963.6863823933976,932.7422628167177,978.2903790103195,920.5090728157606
2021-02-04 13:00:00,920.2084918311746,998.0025214571511,958.4542759243107,949.1538834418657,966.7560321715818,926.527592823426,963.6863823933976,906.0998742781371,978.2903790103195,947.5751403293272
2021-02-04 14:00:00,915.8702931730686,993.2975733526664,953.9357726822935,944.6792256441641,962.1983914209114,922.1596036171036,959.1432130920421,910.3917934374373,978.2903790103195,943.107925302816
2021-02-04 15:00:00,964.3560428813115,1045.8822874616126,1004.4366912695424,994.6901069125931,1013.1367292225202,970.9783065112941,1009.919811166015,864.6192502373543,978.2903790103195,993.0356226579389
2021-02-04 16:00:00,1002.8894544915465,1087.6732970955643,1044.5716318309874,1034.4355967627657,1053.6193029490616,1009.7763282850982,1050.273844372172,831.3985105971913,978.2903790103195,1032.7150031875362
2021-02-04 17:00:00,1013.0969807459131,1098.7437632237634,1055.203404165145,1044.9642033455925,1064.343163538874,1020.053949947033,1060.9636544930086,831.3985105971913,988.2475329951573,1043.226097367562
2021-02-04 18:00:00,1111.5996091005536,1205.5737613608849,1157.8000071897663,1146.5652568698742,1167.8284182305629,1119.2329989847042,1164.1203221590793,831.3985105971913,1084.3340689488425,1144.6581562048111
