total_cumulative_return,growth_factor,profit_factor,max_drawdown,sharpe_ratio,volatility,num_trades,trading_coin,reference_coin,trading_type
64.560953,65.560953,2.073269,0.414183,3.801836,1.254994,359,FXS,ACM,both
42.528457,43.528457,1.963938,0.416031,3.283272,1.356554,345,FXS,AGLD,both
16.788915,17.788915,2.019725,0.412712,3.322112,1.240041,280,FXS,ALPINE,both
7.179287,8.179287,1.761896,0.403616,2.771472,1.218125,266,FXS,APE,both
5.622540,6.622540,1.575597,0.373593,2.234053,1.199412,323,FXS,API3,both
0.432998,1.432998,1.682352,0.144715,2.874695,0.810037,59,FXS,APT,both
11.015405,12.015405,1.610867,0.478501,2.496747,1.236164,361,FXS,ARDR,both
5.641388,6.641388,1.473485,0.479171,2.035602,1.236859,371,FXS,ARPA,both
8.166982,9.166982,1.777420,0.287202,2.983238,1.092993,273,FXS,ASTR,both
17.957644,18.957644,1.704332,0.472324,2.783754,1.297290,378,FXS,ATM,both
7.466743,8.466743,1.510044,0.474808,2.120766,1.368135,400,FXS,AUCTION,both
11.033097,12.033097,1.601780,0.462783,2.465737,1.263690,359,FXS,AXS,both
6.040907,7.040907,1.480847,0.499803,2.055190,1.271766,375,FXS,BCH,both
7.012614,8.012614,1.542678,0.466452,2.165687,1.250147,369,FXS,BNT,both
19.834388,20.834388,2.004707,0.348580,3.396246,1.151703,305,FXS,BTTC,both
11.143390,12.143390,1.586990,0.395604,2.603805,1.171873,375,FXS,CITY,both
23.530426,24.530426,1.831107,0.478438,3.087014,1.212168,360,FXS,COS,both
14.169874,15.169874,1.675540,0.344356,2.549741,1.328198,365,FXS,CTK,both
11.339363,12.339363,1.624415,0.472476,2.591702,1.191823,359,FXS,DATA,both
21.670947,22.670947,1.788375,0.320586,3.018846,1.214904,357,FXS,DCR,both
21.410506,22.410506,1.797531,0.308276,3.027652,1.210577,355,FXS,DF,both
6.448012,7.448012,1.515039,0.485473,2.155744,1.199526,364,FXS,DGB,both
12.773106,13.773106,1.653081,0.430793,2.574241,1.257237,361,FXS,DIA,both
10.383555,11.383555,1.609286,0.401969,2.380637,1.295466,348,FXS,DOGE,both
10.477823,11.477823,1.613798,0.435000,2.376363,1.300486,357,FXS,DYDX,both
24.407797,25.407797,1.812587,0.386668,3.147970,1.195567,354,FXS,ENS,both
5.310673,6.310673,1.486151,0.496625,2.123726,1.176378,340,FXS,EOS,both
8.277218,9.277218,1.549710,0.497101,2.289216,1.241004,347,FXS,ETC,both
112.978214,113.978214,2.098374,0.387418,3.882222,1.402265,420,FXS,EUR,both
16.123891,17.123891,1.733957,0.414789,2.822758,1.203561,362,FXS,FARM,both
22.787914,23.787914,1.796520,0.452205,2.962575,1.278875,353,FXS,FLUX,both
30.029003,31.029003,1.779989,0.378391,3.178745,1.270709,378,FXS,FORTH,both
19.649901,20.649901,1.746993,0.367634,2.898514,1.248154,369,FXS,FUN,both
225.802509,226.802509,2.557903,0.215586,4.575879,1.314738,362,FXS,GHST,both
8.915257,9.915257,1.803028,0.293836,2.993951,1.164982,268,FXS,GMT,both
1.013881,2.013881,2.175333,0.136276,3.850147,0.936838,72,FXS,GMX,both
0.287548,1.287548,1.917465,0.151294,3.114787,0.702553,44,FXS,HFT,both
7.558505,8.558505,1.550132,0.444827,2.236872,1.243876,367,FXS,HIGH,both
0.069779,1.069779,1.354899,0.087206,2.071621,0.630481,25,FXS,HOOK,both
15.903763,16.903763,1.719150,0.444420,2.704629,1.290848,348,FXS,HOT,both
8.760854,9.760854,1.642709,0.342924,2.454257,1.249126,331,FXS,IMX,both
10.893573,11.893573,1.608237,0.431116,2.410900,1.303753,370,FXS,IOTX,both
9.207987,10.207987,1.585780,0.494527,2.363352,1.257447,348,FXS,JASMY,both
32.366060,33.366060,1.839585,0.428209,3.111828,1.336400,370,FXS,KAVA,both
10.418038,11.418038,1.902466,0.230156,3.275900,1.116370,264,FXS,KDA,both
19.514275,20.514275,1.798382,0.401933,3.058285,1.242497,352,FXS,KMD,both
29.680295,30.680295,1.794011,0.345175,3.175799,1.267913,373,FXS,KNC,both
120.771428,121.771428,2.337881,0.404116,4.067995,1.330027,363,FXS,LAZIO,both
1.510423,2.510423,1.448866,0.275835,2.211346,0.813947,209,FXS,LDO,both
27.378602,28.378602,2.039926,0.356826,3.566036,1.196409,306,FXS,LOKA,both
10.475901,11.475901,1.607758,0.387023,2.481188,1.212044,379,FXS,LSK,both
14.587959,15.587959,1.681880,0.469712,2.658715,1.279413,334,FXS,LUNA,both
1.410161,2.410161,2.059119,0.141597,3.741718,0.914381,102,FXS,LUNC,both
0.047826,1.047826,1.611172,0.037532,3.014055,0.561723,10,FXS,MAGIC,both
64.062551,65.062551,2.034683,0.351507,3.458513,1.417725,358,FXS,MDT,both
27.927316,28.927316,1.867709,0.241648,3.183842,1.227013,359,FXS,MINA,both
11.435610,12.435610,1.612727,0.430359,2.489209,1.270076,375,FXS,MLN,both
10.067778,11.067778,2.192120,0.198539,4.248013,0.971063,223,FXS,NEXO,both
13.396940,14.396940,1.670805,0.488391,2.780372,1.148246,362,FXS,NKN,both
20.660167,21.660167,1.898215,0.423492,3.318207,1.125014,330,FXS,NULS,both
41.426909,42.426909,1.936075,0.450178,3.175479,1.404364,387,FXS,OG,both
11.804799,12.804799,1.631677,0.419073,2.542387,1.230508,369,FXS,OGN,both
