Date,ASR,CTK,TRX,CHR,BTC,FUN,OG,TRU,HBAR,MDT
2022-09-28 17:00:00,1404.9205638541598,1153.9932784328387,952.1361194122975,744.8273556737248,1162.807915383267,954.942770005141,613.2005696990076,635.1051451084298,791.9815744785323,611.7715338034691
2022-09-28 18:00:00,1407.3180392190984,1155.962550239038,953.7609250768237,746.098392116854,1164.792229232044,956.5723651757983,614.2469870534427,636.1889422843827,793.3330788718404,612.8155125300962
2022-09-28 19:00:00,1400.150035623755,1150.0747953142209,948.9030595840723,742.2982305271247,1158.8595014091302,951.7001799541897,611.1183945896731,632.9485911352263,789.2923331390466,609.6942111080414
2022-09-28 20:00:00,1402.5312431673328,1152.0307048300615,950.5168402976507,743.5606424838035,1160.8303509013226,953.3187176752002,611.1183945896731,634.0250343174291,790.6346670389429,610.7311060248918
2022-09-28 21:00:00,1402.5312431673328,1152.0307048300615,950.5168402976507,743.5606424838035,1160.8303509013226,953.3187176752002,611.1183945896731,634.0250343174291,790.6346670389429,610.7311060248918
2022-09-28 22:00:00,1409.7237110810115,1157.938554598421,955.3912856325105,747.3737739837205,1166.7833270597912,958.2075316119963,611.1183945896731,637.2764447498262,794.6892037929888,613.863060414763
2022-09-28 23:00:00,1412.1376215451912,1159.9213260960207,957.0272296147579,748.6535235967062,1168.7812437157152,959.8482979332496,611.1183945896731,638.3676715387812,796.0499729775657,614.9141957921855
2022-09-29 00:00:00,1397.7768999701555,1148.1255160001292,947.294749313591,741.040097933011,1156.8953327626743,950.0871288017249,611.1183945896731,631.8757969129631,787.9545495235567,608.6608310892141
2022-09-29 01:00:00,1404.9205638541598,1153.9932784328387,952.1361194122975,744.8273556737248,1162.807915383267,954.942770005141,611.1183945896731,631.8757969129631,787.9545495235567,611.7715338034691
2022-09-29 02:00:00,1402.5312431673328,1152.0307048300615,950.5168402976507,743.5606424838035,1160.8303509013226,953.3187176752002,611.1183945896731,631.8757969129631,787.9545495235567,610.7311060248918
2022-09-29 03:00:00,1400.150035623755,1150.0747953142209,948.9030595840723,742.2982305271247,1158.8595014091302,951.7001799541897,611.1183945896731,631.8757969129631,787.9545495235567,609.6942111080414
2022-09-29 04:00:00,1412.1376215451912,1159.9213260960207,957.0272296147579,748.6535235967062,1168.7812437157152,959.8482979332496,611.1183945896731,631.8757969129631,787.9545495235567,614.9141957921855
2022-09-29 05:00:00,1407.3180392190984,1155.962550239038,953.7609250768237,746.098392116854,1164.792229232044,956.5723651757983,611.1183945896731,631.8757969129631,787.9545495235567,612.8155125300962
2022-09-29 06:00:00,1414.5598130058177,1161.9108995541617,958.6687857547489,749.937663431349,1170.7860142881266,956.5723651757983,611.1183945896731,631.8757969129631,787.9545495235567,615.9689371228753
2022-09-29 07:00:00,1421.876501693779,1167.920783517373,963.6274174052045,753.8166513456491,1176.841804017203,956.5723651757983,611.1183945896731,631.8757969129631,787.9545495235567,619.154983349373
2022-09-29 08:00:00,1412.1376215451912,1159.9213260960207,957.0272296147579,748.6535235967062,1168.7812437157152,956.5723651757983,611.1183945896731,631.8757969129631,787.9545495235567,614.9141957921855
2022-09-29 09:00:00,1416.9903281484392,1163.9073100344951,960.3159829811316,751.2262161176571,1172.7976741064908,956.5723651757983,611.1183945896731,631.8757969129631,787.9545495235567,617.0273029942205
2022-09-29 10:00:00,1414.5598130058177,1161.9108995541617,958.6687857547489,749.937663431349,1170.7860142881266,956.5723651757983,611.1183945896731,631.8757969129631,787.9545495235567,615.9689371228753
2022-09-29 11:00:00,1419.4292099524814,1165.9105928400622,961.9688504217188,752.5192044414397,1174.8162587435074,956.5723651757983,611.1183945896731,631.8757969129631,787.9545495235567,618.0893121215771
2022-09-29 12:00:00,1421.876501693779,1167.920783517373,963.6274174052045,752.5192044414397,1174.8162587435074,956.5723651757983,611.1183945896731,631.8757969129631,787.9545495235567,619.154983349373
2022-09-29 13:00:00,1424.332246947136,1169.9379178585082,963.6274174052045,752.5192044414397,1172.7907134698116,954.9231024772193,611.1183945896731,631.8757969129631,787.9545495235567,620.2243356522217
2022-09-29 14:00:00,1419.4292099524814,1165.9105928400622,963.6274174052045,752.5192044414397,1176.841804017203,958.2216278743773,611.1183945896731,631.8757969129631,787.9545495235567,618.0893121215771
2022-09-29 15:00:00,1424.332246947136,1169.9379178585082,963.6274174052045,752.5192044414397,1172.7907134698116,954.9231024772193,611.1183945896731,631.8757969129631,787.9545495235567,620.2243356522217
2022-09-29 16:00:00,1434.2406451867682,1178.0766164175238,970.330912482806,752.5192044414397,1172.7907134698116,961.5660457988,611.1183945896731,631.8757969129631,787.9545495235567,624.5389397263241
2022-09-29 17:00:00,1426.796489588913,1171.962031903246,965.2945928678433,752.5192044414397,1172.7907134698116,956.5752185714705,611.1183945896731,631.8757969129631,787.9545495235567,621.2973881360491
2022-09-29 18:00:00,1419.4292099524814,1165.9105928400622,960.3102834382331,752.5192044414397,1172.7907134698116,951.6359317285886,611.1183945896731,631.8757969129631,787.9545495235567,618.0893121215771
2022-09-29 19:00:00,1414.5598130058177,1161.9108995541617,957.0159085379304,752.5192044414397,1172.7907134698116,948.371314467084,611.1183945896731,631.8757969129631,787.9545495235567,615.9689371228753
2022-09-29 20:00:00,1416.9903281484392,1163.9073100344951,958.6602657690952,752.5192044414397,1172.7907134698116,950.0008184438316,611.1183945896731,631.8757969129631,787.9545495235567,617.0273029942205
2022-09-29 21:00:00,1421.876501693779,1167.920783517373,961.9659908234714,752.5192044414397,1172.7907134698116,953.2766833350172,611.1183945896731,631.8757969129631,787.9545495235567,619.154983349373
2022-09-29 22:00:00,1409.7237110810115,1157.938554598421,953.7440592779718,752.5192044414397,1172.7907134698116,945.1290193748889,611.1183945896731,631.8757969129631,787.9545495235567,613.863060414763
2022-09-29 23:00:00,1409.7237110810115,1159.9213260960207,955.3771826671463,752.5192044414397,1172.7907134698116,946.7473909834074,611.1183945896731,631.8757969129631,787.9545495235567,614.9141957921855
2022-09-30 00:00:00,1409.7237110810115,1155.962550239038,952.1165096887602,752.5192044414397,1172.7907134698116,943.516171218959,611.1183945896731,631.8757969129631,787.9545495235567,612.8155125300962
2022-09-30 01:00:00,1409.7237110810115,1159.9213260960207,955.3771826671463,752.5192044414397,1172.7907134698116,946.7473909834074,611.1183945896731,631.8757969129631,787.9545495235567,614.9141957921855
2022-09-30 02:00:00,1409.7237110810115,1163.9073100344951,958.6602657690952,752.5192044414397,1172.7907134698116,946.7473909834074,611.1183945896731,631.8757969129631,787.9545495235567,617.0273029942205
2022-09-30 03:00:00,1409.7237110810115,1161.9108995541617,957.0159085379304,752.5192044414397,1172.7907134698116,946.7473909834074,611.1183945896731,631.8757969129631,787.9545495235567,615.9689371228753
