Date,DOT,SOL,SKL,ARDR,KNC,1INCH,ATM,AXS,AVA,STPT
2022-04-06 13:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6599.788782458232,6426.224486317257,14630.391837603363,9597.961395344817,10898.843937854546,8559.006115771617
2022-04-06 14:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6611.358660113431,6426.224486317257,14656.039907441389,9614.787273072694,10879.7709609633,8574.010634381786
2022-04-06 15:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6674.881195912244,6426.224486317257,14796.856472923753,9707.167024368966,10776.231943553687,8656.39050899784
2022-04-06 16:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6601.439142243794,6426.224486317257,14634.050350190913,9600.361485716245,10896.119226870082,8561.14640237221
2022-04-06 17:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6563.688495731709,6426.224486317257,14550.364831032686,9545.461357876498,10958.787579512746,8512.189075854418
2022-04-06 18:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6603.090327622045,6426.224486317257,14637.710692949842,9602.762776733185,10893.394515885617,8563.287759651443
2022-04-06 19:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6601.439142243794,6426.224486317257,14634.050350190913,9600.361485716245,10896.119226870082,8561.14640237221
2022-04-06 20:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6621.308033567328,6426.224486317257,14678.095648460865,9629.256478901247,10863.422695056519,8586.913584922617
2022-04-06 21:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6763.81120415909,6426.224486317257,14993.996246583001,9836.496433866068,10634.546972361575,8771.720333867914
2022-04-06 22:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6869.413252623713,6426.224486317257,15228.094548637382,9836.496433866068,10471.064313293757,8908.671471008707
2022-04-06 23:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6883.743189004675,6426.224486317257,15259.861108321631,9836.496433866068,10449.266625418048,8927.255401065571
2022-04-07 00:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6708.806894493755,6426.224486317257,14872.062859063139,9836.496433866068,10721.737723864413,8700.387411203676
2022-04-07 01:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6708.806894493755,6426.224486317257,14963.325837487457,9836.496433866068,10656.344660237286,8753.777668904744
2022-04-07 02:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6722.557971910091,6426.224486317257,14993.996246583001,9836.496433866068,10634.546972361575,8771.720333867914
2022-04-07 03:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6634.170357614433,6426.224486317257,14796.856472923753,9836.496433866068,10776.231943553687,8656.39050899784
2022-04-07 04:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6640.886804445731,6426.224486317257,14811.83683887964,9836.496433866068,10765.33309961583,8665.15425540027
2022-04-07 05:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6637.5268819542325,6426.224486317257,14804.34286628218,9836.496433866068,10770.782521584757,8660.770165212867
2022-04-07 06:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6528.525445226446,6426.224486317257,14561.22601403669,9836.496433866068,10950.613446559355,8518.54303634896
