Date,NMR,STRAX,TROY,CKB,DENT,KMD,FET,DASH,UTK,DGB
2022-11-03 00:00:00,820.6326611967164,800.3799105144715,338.8755204142481,331.02593113671827,521.4595251923481,255.80860502199204,347.50319728182893,211.12669700955513,199.8031328135347,284.7893608294361
2022-11-03 01:00:00,811.2940249384325,791.2717465256867,338.8755204142481,327.25892196304295,521.4595251923481,252.89755404023396,343.5486801008125,211.12669700955513,202.10302498980553,281.54851461800587
2022-11-03 02:00:00,818.2980021321455,798.1028695172753,338.8755204142481,327.25892196304295,521.4595251923481,255.08084227655254,346.5145679865749,209.31962114356753,200.37318454766742,281.54851461800587
2022-11-03 03:00:00,819.4653316644309,799.2413900158732,338.8755204142481,327.25892196304295,521.4595251923481,255.44472364927222,347.0088826342019,209.02144504507245,200.0877526608474,281.54851461800587
2022-11-03 04:00:00,819.4653316644309,799.2413900158732,338.8755204142481,327.25892196304295,521.4595251923481,255.44472364927222,347.0088826342019,209.02144504507245,200.0877526608474,281.54851461800587
2022-11-03 05:00:00,819.4653316644309,798.1028695172753,338.8755204142481,327.25892196304295,522.203404686203,255.08084227655254,347.0088826342019,209.31962114356753,200.37318454766742,281.95015301261066
2022-11-03 06:00:00,819.4653316644309,792.4102670242847,341.30997099193667,327.25892196304295,525.9548659267648,253.26143541295372,347.0088826342019,210.82335405408168,201.81264708033746,283.9756569854024
2022-11-03 07:00:00,819.4653316644309,793.5487875228828,340.82028667200564,327.25892196304295,525.2002678407866,253.26143541295372,346.5110219704512,210.52088152315758,201.5231023929912,283.56823136562423
2022-11-03 08:00:00,819.4653316644309,799.2413900158732,338.3927917526894,327.25892196304295,521.4595251923481,253.26143541295372,344.0429947484395,209.02144504507245,200.0877526608474,281.54851461800587
2022-11-03 09:00:00,818.2996626293464,800.3799105144715,337.9114364301393,327.25892196304295,520.7177619986179,253.26143541295372,343.5536021527803,208.72411724273238,199.8031328135347,281.14801886463744
2022-11-03 10:00:00,833.7169026498992,785.5791440326961,344.2778837831709,327.25892196304295,530.5283865000409,253.26143541295372,350.0263511788471,212.65660061107366,203.5675396636447,286.4450105244059
2022-11-03 11:00:00,833.7169026498992,785.5791440326961,344.2778837831709,327.25892196304295,530.5283865000409,253.26143541295372,350.0263511788471,212.65660061107366,203.5675396636447,286.4450105244059
2022-11-03 12:00:00,841.0302088134949,778.7480210411073,347.29786521986546,327.25892196304295,535.1821442763572,253.26143541295372,353.09675776813526,214.5220093883638,203.5675396636447,288.9576860553218
2022-11-03 13:00:00,824.1614080636538,778.7480210411073,340.3320054590084,327.25892196304295,524.4478319269747,253.26143541295372,346.0145878415537,210.21927567570316,203.5675396636447,283.16197315449864
2022-11-03 14:00:00,819.4653316644309,778.7480210411073,338.3927917526894,327.25892196304295,521.4595251923481,253.26143541295372,344.0429947484395,209.02144504507245,202.40761066271233,281.54851461800587
2022-11-03 15:00:00,818.2996626293464,778.7480210411073,337.9114364301393,327.25892196304295,520.7177619986179,253.26143541295372,343.5536021527803,209.02144504507245,202.40761066271233,281.14801886463744
