Date,KNC,ASR,HIVE,DIA,ATM,CRV,MDT,STRAX,RIF,SAND
2021-12-14 00:00:00,495.55981601473775,1422.4638209467785,243.67596300163905,590.6891881242252,1492.3998986774977,888.1656030996678,497.90456895354254,251.7387778265312,193.7935186421558,1719.3998576840784
2021-12-14 01:00:00,502.4266956823784,1442.1746360176344,247.05253523722754,598.8742577056232,1513.079804894738,900.4727477153676,504.80393942403043,255.22707497886182,196.4788791776129,1743.225259869077
2021-12-14 02:00:00,525.0041636805305,1506.9814067809039,258.15429546635954,625.7857743596138,1581.0728298817246,940.9371474366837,527.4882332436649,266.69617319182794,205.30801911994922,1821.5602943258157
2021-12-14 03:00:00,535.824701338631,1538.0408729531619,263.47495474668085,638.6834597606046,1613.6593487694968,960.3302238008167,538.3599685304943,272.19288385610656,209.5394963273362,1859.1033523142983
2021-12-14 04:00:00,508.1490954054123,1458.600315243348,249.86634543355137,605.6951490234549,1530.3130600757713,910.7287015617841,510.5534148161037,258.1339892724708,198.71667962382722,1763.0797616899094
2021-12-14 05:00:00,510.7501861886097,1466.0665330732177,251.145350068244,608.795554167924,1538.146357885332,915.3904987647009,513.1668127215916,259.4553139513839,199.7338616448337,1772.1045352448332
2021-12-14 06:00:00,493.5829870195078,1416.7894953960774,242.70391947927263,588.3328802144288,1486.4465923422317,884.6226372254512,495.9183865453718,250.7345710705572,193.02046030619084,1712.541029782336
2021-12-14 07:00:00,476.83196237571764,1368.7070525717165,234.46712963185212,568.3662710840487,1436.0001544486609,854.6006632386684,495.9183865453718,242.22524013835658,186.46980809090908,1654.421488088627
2021-12-14 08:00:00,476.83196237571764,1368.7070525717165,228.58370831226605,568.3662710840487,1436.0001544486609,854.6006632386684,508.68262433693803,236.14714661535612,186.46980809090908,1654.421488088627
2021-12-14 09:00:00,476.83196237571764,1368.7070525717165,237.22977964278817,547.6516064704614,1436.0001544486609,854.6006632386684,490.14318859983587,245.07930144480895,186.46980809090908,1654.421488088627
2021-12-14 10:00:00,476.83196237571764,1368.7070525717165,233.29044536793492,556.8992322814757,1436.0001544486609,854.6006632386684,498.419729284526,241.00962143375648,186.46980809090908,1654.421488088627
2021-12-14 11:00:00,476.83196237571764,1368.7070525717165,236.4112166765849,549.5478249737133,1436.0001544486609,854.6006632386684,498.419729284526,241.00962143375648,186.46980809090908,1654.421488088627
2021-12-14 12:00:00,476.83196237571764,1368.7070525717165,239.7366287267857,541.9249891599508,1436.0001544486609,854.6006632386684,498.419729284526,237.66655156751787,186.46980809090908,1654.421488088627
2021-12-14 13:00:00,476.83196237571764,1368.7070525717165,246.5409333833505,526.9683542651026,1436.0001544486609,854.6006632386684,512.5660852373305,237.66655156751787,186.46980809090908,1654.421488088627
2021-12-14 14:00:00,476.83196237571764,1357.3461307823682,244.49452596784226,526.9683542651026,1424.0806677962546,854.6006632386684,508.31154209362995,237.66655156751787,186.46980809090908,1640.689000119433
2021-12-14 15:00:00,476.83196237571764,1318.7189966985845,237.5367407551144,526.9683542651026,1383.5544131780728,854.6006632386684,493.8460954050479,237.66655156751787,181.1632808047899,1593.998541024174
2021-12-14 16:00:00,476.83196237571764,1338.3165867852103,241.06679354686605,526.9683542651026,1404.1155276534737,854.6006632386684,501.1851823279314,237.66655156751787,183.8555630308357,1617.6870827710334
