Date,BTC,FET,STORJ,KMD,TRU,HBAR,FUN,CKB,TROY,NMR
2021-12-29 11:00:00,86.66612057513429,69.65581932012329,151.3274672990385,88.40576633606159,32.909286357206334,66.68085597691709,131.2526590786632,76.99367028101611,82.85266716110664,37.75808908441313
2021-12-29 12:00:00,86.66612057513429,69.65581932012329,152.19616688169654,88.40576633606159,32.721447964756535,66.68085597691709,130.50350006565716,76.55420869265417,82.37976380973048,37.974840456883925
2021-12-29 13:00:00,86.66612057513429,69.65581932012329,155.8447051288605,88.40576633606159,31.95539399902645,66.68085597691709,127.4482341778324,74.7619696931606,80.45114057672676,38.885196221261275
2021-12-29 14:00:00,86.66612057513429,69.65581932012329,154.4547857966076,88.40576633606159,32.2429565996926,66.68085597691709,128.59512492408962,75.4347433236952,81.17511034569614,38.53839402530801
2021-12-29 15:00:00,86.66612057513429,69.65581932012329,154.4547857966076,88.40576633606159,32.2429565996926,66.68085597691709,128.59512492408962,75.4347433236952,81.17511034569614,38.53839402530801
2021-12-29 16:00:00,87.45310010362587,69.65581932012329,153.06486646435462,88.40576633606159,32.53574167664782,66.68085597691709,129.7628445601767,76.11973531755397,81.91222826029954,38.19159182935473
2021-12-29 17:00:00,87.55247862647087,69.65581932012329,153.06486646435462,88.40576633606159,32.57271411037127,66.68085597691709,129.91030233808596,76.20623501677845,82.00531033786804,38.148241554860576
2021-12-29 18:00:00,87.85197399235392,69.65581932012329,153.06486646435462,88.40576633606159,32.684137305731724,66.68085597691709,130.35469333810224,76.46691769072412,82.28583021359621,38.01819073137809
2021-12-29 19:00:00,87.85197399235392,69.65581932012329,153.06486646435462,88.40576633606159,32.684137305731724,66.68085597691709,130.35469333810224,76.46691769072412,82.28583021359621,38.01819073137809
2021-12-29 20:00:00,87.95226163389772,69.65581932012329,153.06486646435462,88.40576633606159,32.721447964756535,66.68085597691709,130.50350006565716,76.55420869265417,82.37976380973048,37.974840456883925
2021-12-29 21:00:00,87.85197399235392,69.65581932012329,153.06486646435462,88.40576633606159,32.684137305731724,66.68085597691709,130.35469333810224,76.46691769072412,82.28583021359621,38.01819073137809
2021-12-29 22:00:00,89.17382082325739,69.65581932012329,153.06486646435462,88.40576633606159,33.17591251982259,66.68085597691709,132.31604867768016,77.61746159116325,83.52392719597671,37.45463716295401
2021-12-29 23:00:00,89.17382082325739,69.65581932012329,153.06486646435462,88.40576633606159,32.94711312313417,66.68085597691709,131.40352420404102,77.08216875260351,82.94790011186655,37.71473880991896
2021-12-30 00:00:00,89.17382082325739,69.65581932012329,153.06486646435462,88.40576633606159,32.87154634991597,66.68085597691709,131.10213997421522,76.90537478757459,82.75765263454574,37.71473880991896
2021-12-30 01:00:00,89.17382082325739,69.65581932012329,153.06486646435462,88.40576633606159,32.87154634991597,66.68085597691709,131.85820767879548,77.34888905970594,83.23491706727091,37.71473880991896
