Date,FUN,NULS,BTC,PAXG,DIA,KMD,WIN,DCR,LRC,UTK
2021-11-09 22:00:00,426.8636267185357,342.93955665555455,410.2024607179382,32.8169319409594,200.66269107520205,107.22391999744819,195.9480852945632,169.37408786658068,424.7355789439254,163.25767392791897
2021-11-09 23:00:00,423.0280405074416,339.8580707841568,410.2024607179382,32.52205516120006,198.85963501046834,107.22391999744819,195.9480852945632,169.37408786658068,420.91911432153074,161.79072091581304
2021-11-10 00:00:00,423.0280405074416,341.9394412963958,410.2024607179382,32.721227852476005,198.85963501046834,106.57125265833326,195.9480852945632,169.37408786658068,423.4969216708315,162.7815652258837
2021-11-10 01:00:00,423.0280405074416,340.5490398505202,410.2024607179382,32.58817609821093,198.85963501046834,107.0063642177432,195.9480852945632,169.37408786658068,421.7748894595647,162.11965935508428
2021-11-10 02:00:00,423.0280405074416,340.00589943608554,410.85773621429274,32.58817609821093,198.85963501046834,107.17730090179708,195.9480852945632,169.37408786658068,421.10220223554626,161.86109530507613
2021-11-10 03:00:00,423.0280405074416,340.00589943608554,419.9124521639191,32.58817609821093,203.24221649830238,109.53933508145104,195.9480852945632,169.37408786658068,412.0218312978525,158.37082909903674
2021-11-10 04:00:00,423.0280405074416,340.00589943608554,416.1595106847976,32.29692129693595,201.42575180268693,108.56033407277867,194.19681144386698,167.8603174685675,415.73745903500753,158.37082909903674
2021-11-10 05:00:00,423.0280405074416,340.00589943608554,414.193684195734,32.14435925817287,200.47427029545983,108.04752402061698,193.27947752207376,167.06739011722732,417.7106125152541,158.37082909903674
2021-11-10 06:00:00,424.8611823845502,340.00589943608554,412.40656920567625,32.00566649566098,199.60928710707154,108.04752402061698,192.44553759317083,166.3465470705544,419.52071194836947,158.37082909903674
2021-11-10 07:00:00,413.280028895355,340.00589943608554,423.9632461413835,32.90254635990455,205.20284505864916,108.04752402061698,197.83834913340988,171.00799877237264,408.0851326146638,158.37082909903674
2021-11-10 08:00:00,419.94773924161075,334.60746376989505,417.2317796788323,32.38013695444308,201.9447417157199,108.04752402061698,194.69717540120874,168.29282329657124,414.6690303852888,155.8562999873055
2021-11-10 09:00:00,393.5394655670647,357.06113423989086,445.2299145230715,34.55299023379607,215.49614500046982,108.04752402061698,207.762234287355,179.58603102778036,388.5927065585446,166.3149608945062
2021-11-10 10:00:00,403.3858503758741,365.99482866093183,456.3695979610986,35.417508453453536,220.88787354142352,110.75088058896799,212.9604598441834,184.07928601870827,379.10741271616786,170.47617278737115
2021-11-10 11:00:00,405.75530126569447,368.1446481740164,459.05027044618527,35.62554759722137,222.18534832400593,111.40142093964067,214.21136973753778,185.1605505887176,376.8935749829435,171.47753393806056
2021-11-10 12:00:00,391.06470574880785,354.8157671928913,442.4301010386476,34.33570490586078,214.14100467199486,107.36807076546995,206.45572839874038,178.45671025465947,391.0518229188854,165.26909480378615
2021-11-10 13:00:00,394.5925548514294,358.0166095790397,446.4213245164434,34.33570490586078,216.07280045939538,108.33665306536041,208.318194239957,180.06659305889568,387.55562967955194,166.76001029481264
2021-11-10 14:00:00,393.43415663862817,356.96558670597597,445.1107735237342,34.436800396750634,215.43847945457725,108.01861111614261,207.70663829209477,179.53797482466882,388.6967195956321,166.27045595447555
2021-11-10 15:00:00,393.2235387817554,356.77449163814634,444.87249152506,34.45524538892885,215.3231483627922,107.96078530719397,207.5954463015744,179.44186241844582,388.90491280377097,166.18144607441428
2021-11-10 16:00:00,395.2346416718909,354.9590884937636,442.60881253765336,34.63146333304451,214.22750299083367,107.41144012218145,206.53912239163066,178.52879455932674,390.89392850855484,165.33585221383208
2021-11-10 17:00:00,396.087589374447,354.19470822244455,442.60881253765336,34.706200777518305,213.7661786236932,107.18013688638669,206.09435442954904,178.1443449344345,390.0521650016723,164.97981269358695
2021-11-10 18:00:00,396.087589374447,340.34031580478756,442.60881253765336,34.706200777518305,205.40467446927306,102.98776573760703,198.03293511682054,171.17619548326294,374.7952014394272,158.52659638914395
2021-11-10 19:00:00,396.087589374447,343.3022893561488,442.60881253765336,34.406759579604845,207.1923063919422,102.98776573760703,199.75641096988664,172.6659377797203,378.05703502859683,159.90624953009382
2021-11-10 20:00:00,380.4888156765667,329.7823133071938,425.1779338919318,35.81732208301324,199.032631648146,98.93188796085464,191.88957764056883,165.86598503943912,363.1683430006129,153.60880051575813
2021-11-10 21:00:00,385.44955642854285,334.0819523333633,430.72132286053585,35.356352686835464,201.6275812133109,100.22174308420348,194.3913974272777,168.0285141794579,367.90326272682694,155.611522817137
2021-11-10 22:00:00,387.1582560208901,335.56293910904384,432.6307123941661,35.200309558519415,202.52139717464544,100.66602651557918,195.25313535381076,168.77338532768658,366.2795438850656,156.3013493876119
2021-11-10 23:00:00,393.2765029483273,340.86582724131944,439.46755878877775,34.65269437127405,202.52139717464544,102.25684783437602,198.33871309075164,171.44050460037636,360.58129169568343,158.7713735593125
2021-11-11 00:00:00,406.339786928531,352.1882100102322,454.0651497394351,33.53865631294634,202.52139717464544,105.65346632586125,204.92683852908493,177.13516466909243,360.58129169568343,164.0452089529435
2021-11-11 01:00:00,406.45002561190825,352.2837575441471,454.18833616095964,33.53865631294634,202.57634058136676,105.68212977304677,204.98243452434514,177.18322087220398,360.58129169568343,164.08971389297415
2021-11-11 02:00:00,414.88328489026765,359.59314388863515,463.61209740758665,33.53865631294634,206.77951119554487,107.87488348273976,209.23552816175024,180.8595204102359,360.58129169568343,167.49434180531821
2021-11-11 03:00:00,430.97813266334566,373.54308384020703,481.5973149501687,33.53865631294634,214.801248576852,112.05974677182705,217.35254346973892,187.875726064519,360.58129169568343,173.99206304979182
2021-11-11 04:00:00,428.3875236039804,371.2977167932074,478.70243404434217,33.337055488453636,213.5100785189019,111.3861557629671,216.04603758112432,186.74640529139808,358.413837966345,172.94619695907176
2021-11-11 05:00:00,424.91500507759713,368.2879694748888,474.8220617663193,33.06682459604851,211.7793612071815,110.48325717662293,214.29476373042812,185.23263489338493,358.413837966345,171.54429134810655
2021-11-11 06:00:00,429.4347910960642,372.2054183653987,479.87270504882525,33.418553694099614,214.03204088275407,111.65845851122963,216.57419953609616,187.20293922095757,358.413837966345,173.36899388936283
2021-11-11 07:00:00,419.2928322253575,363.4150452452301,468.53955426856794,32.629307913106885,208.97724746439607,109.02142137016091,211.45936797215802,182.78176853469697,358.413837966345,169.27453940654382
2021-11-11 08:00:00,425.19060178604013,368.52683830967595,475.1300278201305,32.629307913106885,208.97724746439607,110.55491579458673,214.43375371857857,185.35277540116374,358.413837966345,171.65555369818313
2021-11-11 09:00:00,414.0564947649383,358.87653738427355,462.68819924615264,32.629307913106885,208.97724746439607,107.65990762884827,208.81855819729873,180.49909888689942,349.02835763588075,167.16055475508838
2021-11-11 10:00:00,414.5525688401358,359.3065012868904,463.2425381430129,32.629307913106885,208.97724746439607,107.78889314118314,209.06874017596957,180.28310475181343,349.4465226010994,167.36082698522623
2021-11-11 11:00:00,414.4423301567587,359.2109537529756,463.1193517214885,32.629307913106885,208.97724746439607,107.76022969399763,209.01314418070942,180.33105876291904,349.35359705327306,167.31632204519565
2021-11-11 12:00:00,410.583976238555,355.866790065955,458.80782696812975,32.629307913106885,208.97724746439607,106.75700904250411,207.06728434660255,182.02567201481924,346.1012028793498,165.75864914412318
2021-11-11 13:00:00,416.151029749106,360.69194052865623,465.0287412551188,32.19280988671963,208.97724746439607,108.20451312537334,209.87488210724248,179.59062660111104,350.79394304458197,168.00614861567055
2021-11-11 14:00:00,416.151029749106,356.1534326676996,459.1773862327033,32.603046900701976,208.97724746439607,106.84299938406068,207.2340723323831,181.87917247999846,346.3799795228289,165.89216396421511
2021-11-11 15:00:00,416.151029749106,358.1121571129545,461.70270787395623,32.42472180426004,208.97724746439607,107.43060005136402,208.37379023521711,180.8843691086431,346.3799795228289,166.80451523484322
2021-11-11 16:00:00,412.40985179789766,358.1121571129545,465.89104620579053,32.133225098457594,207.09855195572615,107.43060005136402,210.26405407406384,179.25822723934274,346.3799795228289,168.31768319588505
2021-11-11 17:00:00,416.76260774873725,358.1121571129545,461.0251825555713,32.47237336602982,209.28436165572654,107.43060005136402,208.06801226128604,181.15019784080008,346.3799795228289,166.5597380646747
2021-11-11 18:00:00,416.9297138464714,358.1121571129545,460.8404029232845,32.48539356385101,209.36827679672723,107.43060005136402,207.98461826839574,181.2228322425005,346.3799795228289,166.49298065462872
2021-11-11 19:00:00,417.8232144386952,358.1121571129545,460.8404029232845,32.55501133736047,209.8169631654317,107.43060005136402,207.98461826839574,181.61120155885195,346.3799795228289,166.13694113438362
2021-11-11 20:00:00,420.30020466172175,358.1121571129545,460.8404029232845,32.748007901473095,211.06082551780023,107.43060005136402,207.98461826839574,182.68785109652234,346.3799795228289,165.1578324537095
2021-11-11 21:00:00,421.09450850422485,358.1121571129545,460.8404029232845,32.80989668530416,211.45969856818476,107.6336276432537,207.98461826839574,183.03310351490123,346.3799795228289,165.1578324537095
2021-11-11 22:00:00,407.72031355369216,358.1121571129545,460.8404029232845,31.76783618412407,204.74362135578528,104.21512398133888,201.3789115321234,177.21987071472864,346.3799795228289,165.1578324537095
2021-11-11 23:00:00,410.78063194618096,358.1121571129545,460.8404029232845,31.76783618412407,206.28041177154503,104.9973549619731,201.3789115321234,178.55006990234244,343.7994464117583,165.1578324537095
2021-11-12 00:00:00,415.7627774222709,358.1121571129545,460.8404029232845,31.76783618412407,208.78228002040692,106.27081348543565,201.3789115321234,180.71561120063822,343.7994464117583,165.1578324537095
2021-11-12 01:00:00,421.09450850422485,358.1121571129545,460.8404029232845,31.76783618412407,211.45969856818476,107.6336276432537,201.3789115321234,183.03310351490123,348.2083216019738,165.1578324537095
2021-11-12 02:00:00,421.89182025957507,358.1121571129545,460.8404029232845,31.76783618412407,211.86008209265793,107.83742407103375,201.3789115321234,183.37966335385292,348.86762867560486,165.1578324537095
2021-11-12 03:00:00,423.61055391082266,358.1121571129545,460.8404029232845,31.76783618412407,212.7231731386628,108.27674003004124,201.3789115321234,184.1267287939148,348.86762867560486,165.1578324537095
2021-11-12 04:00:00,426.7398247605059,358.1121571129545,464.24469591341546,31.76783618412407,214.2945891919443,109.07659556514687,201.3789115321234,185.4868988835005,348.86762867560486,165.1578324537095
2021-11-12 05:00:00,426.3315729122999,358.1121571129545,463.8005640463396,31.73744465025926,214.08957865151197,108.97224457854637,201.18625711354682,185.3094479757262,348.86762867560486,165.1578324537095
2021-11-12 06:00:00,435.80163718906095,358.1121571129545,474.1029235997579,32.44242560854247,218.84513090152458,111.39283509097844,205.65518906116543,189.42570981257177,348.86762867560486,165.1578324537095
2021-11-12 07:00:00,435.74076253656915,358.1121571129545,474.0366988583695,32.437893910594646,218.8145616696624,111.37727525928531,205.62646225727366,189.3992500123465,348.81889734040783,165.13476249527204
2021-11-12 08:00:00,447.2997016058644,358.1121571129545,486.61151808532657,33.29837718754618,224.61907757285817,114.33179145127954,211.08113611984834,194.4234629822754,358.07205134212495,169.51530896238208
