Date,CELR,TRU,NEO,XTZ,QTUM,SKL,HIVE,NKN,KNC,BNT
2022-10-11 15:00:00,16554.091610078678,18171.604828815754,6795.536971812306,5705.228650298658,4013.9047268053023,10028.535555701586,9842.305903393584,4904.081143471161,4909.038607949138,4279.7018806139
2022-10-11 16:00:00,16589.302379228044,18210.2560697157,6809.99116774141,5717.363746182003,4022.442354604644,10049.86638186078,9863.240616649055,4914.512188139742,4909.038607949138,4288.804862432282
2022-10-11 17:00:00,16772.77853457435,18411.659823482147,6885.309042407675,5780.59726226881,4066.9301963145576,10161.016977789199,9972.327148814764,4968.866239990136,4909.038607949138,4336.238648929229
2022-10-11 18:00:00,16767.627189815572,18406.005136804168,6883.194389753372,5778.821894559267,4065.681139128957,10157.89627232919,9969.264394776428,4967.340175420113,4909.038607949138,4334.906880302408
2022-10-11 19:00:00,16767.627189815572,18406.005136804168,6883.194389753372,5778.821894559267,4065.681139128957,10157.89627232919,9969.264394776428,4967.340175420113,4909.038607949138,4334.906880302408
2022-10-11 20:00:00,16808.926764174725,18451.34012482586,6900.148070516312,5793.0554460237,4075.695132082477,10182.915721275815,9993.819233187209,4979.57500343839,4909.038607949138,4345.583990845025
2022-10-11 21:00:00,16762.47900830197,18400.353922454524,6881.081035626952,5777.047617035609,4064.4328489419363,10154.777483175882,9993.819233187209,4965.815047948386,4909.038607949138,4345.583990845025
2022-10-11 22:00:00,16819.283465816236,18462.708787872572,6904.399548070543,5796.624796267706,4078.206342884746,10189.189852958669,9993.819233187209,4982.64313344667,4909.038607949138,4345.583990845025
2022-10-11 23:00:00,16716.28724128582,18349.64872181089,6862.119085436921,5761.128012457127,4053.2326359473013,10126.794324159164,9993.819233187209,4952.130928097947,4909.038607949138,4345.583990845025
2022-10-12 00:00:00,16767.627189815565,18406.00513680416,6883.194389753372,5778.821894559267,4065.681139128957,10157.896272329184,9963.219664193986,4967.340175420113,4909.038607949138,4345.583990845025
2022-10-12 01:00:00,16803.75319484133,18445.66104199272,6898.024294563552,5791.272418801162,4074.440686058444,10179.78155207874,9941.799965898728,4978.042354930098,4909.038607949138,4345.583990845025
2022-10-12 02:00:00,16845.23114163514,18491.19183135895,6915.051198098421,5805.567444827206,4084.4979293439947,10204.909059766687,9917.320310704146,4990.330025044089,4909.038607949138,4345.583990845025
