Date,PAXG,1INCH,KNC,RIF,PSG,KMD,ASR,CHZ,OG,MDT
2022-12-22 21:00:00,748.218138967709,431.36707489975385,235.23216970268257,235.11578450050894,178.95793629697965,197.04774945705782,184.41513210090685,177.9485295981164,141.96536357298595,143.06964739096222
2022-12-22 22:00:00,751.4890379358741,431.36707489975385,235.23216970268257,236.14361306663142,178.95793629697965,197.9091603836461,184.41513210090685,178.72644666739785,141.96536357298595,143.6950884724528
2022-12-22 23:00:00,751.4890379358741,431.36707489975385,235.23216970268257,236.14361306663142,178.95793629697965,197.9091603836461,184.41513210090685,178.72644666739785,141.96536357298595,143.6950884724528
2022-12-23 00:00:00,755.5776616460802,431.36707489975385,235.23216970268257,237.4283987742845,178.95793629697965,198.9859240418814,184.41513210090685,179.69884300399957,141.96536357298595,144.47688982431598
2022-12-23 01:00:00,757.2131111301621,432.300769867069,235.23216970268257,237.94231305734556,178.95793629697965,199.4166295051754,184.8142990535061,180.08780153864015,141.96536357298595,144.78961036506115
2022-12-23 02:00:00,758.8485606142445,433.2344648343845,235.23216970268257,238.45622734040677,179.34445451792345,199.8473349684695,185.21346600610548,180.47676007328084,141.96536357298595,145.10233090580644
2022-12-23 03:00:00,753.1244874199566,429.96653244878064,235.23216970268257,236.65752734969269,177.9916407446203,198.33986584694026,183.81638167200785,179.11540520203854,141.96536357298595,144.00780901319808
2022-12-23 04:00:00,751.4890379358741,429.0328374814651,235.23216970268257,236.14361306663142,177.60512252367644,197.9091603836461,183.41721471940843,179.11540520203854,141.96536357298595,143.6950884724528
2022-12-23 05:00:00,748.218138967709,427.16544754683406,235.23216970268257,235.11578450050894,176.83208608178882,197.04774945705782,182.6188808142097,179.11540520203854,141.96536357298595,143.06964739096222
2022-12-23 06:00:00,747.4004142256679,426.6986000631763,235.23216970268257,234.85882735897832,176.63882697131692,196.83239672541077,182.41929733791,179.11540520203854,141.96536357298595,142.9132871205896
2022-12-23 07:00:00,747.4004142256679,425.2980576122032,235.23216970268257,234.08795593438654,176.63882697131692,196.83239672541077,181.82054690901097,179.11540520203854,141.96536357298595,142.44420630947172
2022-12-23 08:00:00,744.1330900104739,427.16544754683406,235.23216970268257,235.11578450050894,176.63882697131692,196.83239672541077,182.6188808142097,179.11540520203854,141.96536357298595,143.06964739096222
2022-12-23 09:00:00,743.3207176414668,427.6322950304918,235.23216970268257,235.11578450050894,176.63882697131692,196.83239672541077,182.81846429050935,179.11540520203854,141.96536357298595,143.22600766133488
2022-12-23 10:00:00,748.2217333621795,424.8312101285455,235.23216970268257,235.11578450050894,176.63882697131692,196.83239672541077,181.6209634327113,179.11540520203854,141.96536357298595,142.2878460390991
2022-12-23 11:00:00,749.0448595815004,424.8312101285455,235.23216970268257,235.11578450050894,176.63882697131692,196.83239672541077,181.6209634327113,179.11540520203854,141.96536357298595,142.13148576872632
2022-12-23 12:00:00,749.0448595815004,424.8312101285455,235.23216970268257,235.11578450050894,176.63882697131692,196.83239672541077,181.6209634327113,179.11540520203854,141.96536357298595,142.13148576872632
2022-12-23 13:00:00,749.869798854167,424.8312101285455,235.49123596887483,235.11578450050894,176.63882697131692,196.83239672541077,181.6209634327113,179.11540520203854,141.96536357298595,141.97512549835375
2022-12-23 14:00:00,748.2217333621795,424.8312101285455,234.97367281289922,235.11578450050894,176.2506097691821,196.83239672541077,181.2217964801119,179.11540520203854,141.65335178491338,142.2878460390991
2022-12-23 15:00:00,745.7631734497082,424.8312101285455,234.20157969303216,235.11578450050894,175.67147304485843,196.83239672541077,180.62632507875344,179.11540520203854,141.18789717882942,142.75692685021696
2022-12-23 16:00:00,744.9472399995445,424.8312101285455,233.9453416408516,235.11578450050894,175.4792723084855,196.83239672541077,180.42870327888605,179.11540520203854,141.0334246436228,142.9132871205896
2022-12-23 17:00:00,743.3207176414668,424.8312101285455,233.43454395167942,235.11578450050894,175.0961297925281,196.83239672541077,180.03475414508938,179.11540520203854,140.72549140204282,143.22600766133488
2022-12-23 18:00:00,744.1330900104739,424.8312101285455,233.43454395167942,235.11578450050894,175.28749168301172,196.83239672541077,180.23151343923698,179.11540520203854,140.8792897533019,143.06964739096222
2022-12-23 19:00:00,744.1330900104739,424.8312101285455,233.43454395167942,235.11578450050894,175.28749168301172,196.83239672541077,180.23151343923698,179.11540520203854,140.8792897533019,143.06964739096222
2022-12-23 20:00:00,746.5808962276136,424.8312101285455,233.43454395167942,235.11578450050894,175.28749168301172,196.83239672541077,180.8243802597608,179.11540520203854,141.34270846959566,142.6005665798443
2022-12-23 21:00:00,748.2217333621795,424.8312101285455,233.43454395167942,235.11578450050894,175.28749168301172,196.83239672541077,181.2217964801119,179.11540520203854,141.65335178491338,142.2878460390991
2022-12-23 22:00:00,746.5808962276136,424.8312101285455,233.43454395167942,235.11578450050894,175.28749168301172,196.83239672541077,180.8243802597608,179.11540520203854,141.34270846959566,142.6005665798443
2022-12-23 23:00:00,746.5808962276136,424.8312101285455,233.43454395167942,235.11578450050894,175.28749168301172,196.83239672541077,180.8243802597608,179.11540520203854,141.34270846959566,142.6005665798443
2022-12-24 00:00:00,745.7631734497082,424.8312101285455,233.43454395167942,235.11578450050894,175.28749168301172,196.83239672541077,180.62632507875344,179.11540520203854,141.18789717882942,142.75692685021696
2022-12-24 01:00:00,747.4004142256679,424.8312101285455,233.43454395167942,235.11578450050894,175.28749168301172,197.26452053819975,181.02287024906897,179.11540520203854,141.4978596314722,142.44420630947172
2022-12-24 02:00:00,749.0448595815004,425.76593226304203,233.43454395167942,235.11578450050894,175.28749168301172,197.69854588591872,181.4211603926314,179.11540520203854,141.80918605530397,142.13148576872632
2022-12-24 03:00:00,747.4004142256679,424.8312101285455,233.43454395167942,235.11578450050894,175.28749168301172,197.26452053819975,181.02287024906897,179.11540520203854,141.4978596314722,142.13148576872632
2022-12-24 04:00:00,749.0448595815004,425.76593226304203,233.43454395167942,235.11578450050894,175.28749168301172,197.69854588591872,181.4211603926314,179.11540520203854,141.80918605530397,142.13148576872632
2022-12-24 05:00:00,748.2217333621795,425.2980576122032,233.43454395167942,235.11578450050894,175.28749168301172,197.48129473659338,181.2217964801119,179.11540520203854,141.65335178491338,142.13148576872632
2022-12-24 06:00:00,749.869798854167,426.2348374747853,233.43454395167942,235.11578450050894,175.28749168301172,197.91627556200444,181.6209634327113,179.11540520203854,141.96536357298595,142.13148576872632
2022-12-24 07:00:00,749.869798854167,426.2348374747853,233.43454395167942,235.11578450050894,175.28749168301172,197.91627556200444,181.6209634327113,179.11540520203854,141.96536357298595,142.13148576872632
2022-12-24 08:00:00,749.869798854167,426.2348374747853,233.43454395167942,235.11578450050894,175.28749168301172,197.91627556200444,181.6209634327113,179.11540520203854,141.96536357298595,142.13148576872632
2022-12-24 09:00:00,749.869798854167,428.1208323308684,233.43454395167942,236.1561198301572,175.28749168301172,198.79201129457968,182.42459601427197,179.11540520203854,142.5935288985301,142.13148576872632
2022-12-24 10:00:00,749.869798854167,428.5949417797396,233.43454395167942,236.4176437723832,175.28749168301172,199.01215748648946,182.62661660786466,179.11540520203854,142.75143978324607,142.28888497777248
2022-12-24 11:00:00,749.869798854167,428.5949417797396,233.43454395167942,236.4176437723832,175.28749168301172,199.01215748648946,182.62661660786466,179.11540520203854,142.75143978324607,142.28888497777248
2022-12-24 12:00:00,749.869798854167,429.5463178991176,233.43454395167942,236.94243321471927,175.28749168301172,199.45391588268592,183.03200310421957,179.11540520203854,143.06831312349746,142.6047315592992
2022-12-24 13:00:00,749.869798854167,429.07010246907436,233.43454395167942,236.6797475903128,175.28749168301172,199.23279180742801,182.82908514068944,179.11540520203854,142.90970080296148,142.4466331872823
2022-12-24 14:00:00,749.869798854167,427.6477706376851,233.43454395167942,235.8951738413946,175.28749168301172,198.57235161359122,182.22302187502967,179.11540520203854,142.435966988145,141.97443440323605
2022-12-24 15:00:00,749.869798854167,425.76593226304203,233.43454395167942,234.85713127223568,175.28749168301172,197.69854588591872,181.4211603926314,179.11540520203854,141.80918605530397,141.34968441686323
2022-12-24 16:00:00,749.869798854167,426.7047766561246,233.43454395167942,235.375008077687,175.28749168301172,198.13448534762958,181.4211603926314,179.11540520203854,142.1218854732869,141.6613706008033
