Date,OG,CKB,ASR,PSG,FUN,DCR,DENT,ZRX,ADA,SUSHI
2021-04-08 09:00:00,481.80787797650373,1280.9740602860793,346.70118089179954,448.9548735319079,745.7289350501794,1378.6498931828228,1358.6934659049703,832.6288082627591,870.9933130996637,873.443887646195
2021-04-08 10:00:00,481.27503564401553,1279.557401826682,346.70118089179954,449.4519326857752,745.7289350501794,1378.6498931828228,1357.1908557804747,832.6288082627591,871.9576309515394,874.4109186449422
2021-04-08 11:00:00,476.9381685424987,1268.0270501784635,346.70118089179954,453.53886350646167,745.7289350501794,1378.6498931828228,1344.960933309974,832.6288082627591,879.8864666225164,882.3620624124186
2021-04-08 12:00:00,464.6045361887306,1235.2358405771695,346.70118089179954,465.5787407890249,726.4443670975174,1342.9979742369321,1310.1802116656588,832.6288082627591,879.8864666225164,882.3620624124186
2021-04-08 13:00:00,467.4324191515692,1242.7542828578037,346.70118089179954,462.7620722504436,730.8659762062384,1351.1723263894664,1318.154813741676,832.6288082627591,879.8864666225164,882.3620624124186
2021-04-08 14:00:00,460.94106626703535,1242.7542828578037,346.70118089179954,469.2790700455924,720.7162545171323,1332.4082526559187,1299.849262603449,832.6288082627591,879.8864666225164,882.3620624124186
2021-04-08 15:00:00,460.8868251436806,1242.7542828578037,346.70118089179954,469.33429884046666,720.6314444142236,1332.2514618518871,1299.849262603449,832.6288082627591,879.8864666225164,882.3620624124186
2021-04-08 16:00:00,461.21246350341477,1242.7542828578037,346.70118089179954,469.00292607122185,721.1406046434375,1333.1927605767003,1299.849262603449,832.6288082627591,879.8864666225164,882.3620624124186
2021-04-08 17:00:00,458.190949938114,1242.7542828578037,346.70118089179954,472.09573858417383,716.4162394281786,1324.4586947610364,1299.849262603449,832.6288082627591,879.8864666225164,882.3620624124186
2021-04-08 18:00:00,462.9570023724584,1242.7542828578037,343.1319595630117,467.2356046352493,716.4162394281786,1338.2355700729713,1299.849262603449,832.6288082627591,879.8864666225164,882.3620624124186
2021-04-08 19:00:00,462.3558304888443,1242.7542828578037,343.57811222911005,467.8431213788646,716.4162394281786,1336.4978069669864,1299.849262603449,832.6288082627591,879.8864666225164,882.3620624124186
2021-04-08 20:00:00,458.40545880980795,1242.7542828578037,346.53894355867277,471.87482340467716,716.4162394281786,1325.0787596930406,1299.849262603449,832.6288082627591,879.8864666225164,882.3620624124186
2021-04-08 21:00:00,459.10400188383534,1242.7542828578037,346.01167222601094,471.1568490713133,716.4162394281786,1327.0979864983403,1299.849262603449,832.6288082627591,879.8864666225164,882.3620624124186
2021-04-08 22:00:00,464.9354511005459,1242.7542828578037,341.6718235648712,465.2473680197801,716.4162394281786,1343.9545255006337,1299.849262603449,832.6288082627591,879.8864666225164,882.3620624124186
2021-04-08 23:00:00,460.66998824641246,1242.7542828578037,344.8354515608422,469.5552140199632,716.4162394281786,1331.6246674685178,1299.849262603449,832.6288082627591,879.8864666225164,882.3620624124186
2021-04-09 00:00:00,467.09794157078113,1242.7542828578037,340.0900095668856,463.0934450196884,716.4162394281786,1350.2054767820323,1299.849262603449,832.6288082627591,879.8864666225164,882.3620624124186
2021-04-09 01:00:00,467.09794157078113,1242.7542828578037,341.5907048983079,465.1369104300318,716.4162394281786,1344.2736787956944,1299.849262603449,832.6288082627591,879.8864666225164,878.4856202004427
2021-04-09 02:00:00,467.09794157078113,1242.7542828578037,342.6046882303499,466.51763030188545,716.4162394281786,1340.295125229944,1299.849262603449,832.6288082627591,879.8864666225164,875.8856272437702
2021-04-09 03:00:00,467.09794157078113,1242.7542828578037,350.18928355402403,476.84541494335014,716.4162394281786,1340.295125229944,1299.849262603449,832.6288082627591,879.8864666225164,856.915206547154
2021-04-09 04:00:00,486.89847974716565,1295.435319170747,365.0339995351187,497.0591538672863,716.4162394281786,1340.295125229944,1299.849262603449,832.6288082627591,879.8864666225164,822.0673214809034
2021-04-09 05:00:00,479.8655017063735,1276.7234756716146,359.7612862085005,489.8794105336479,706.0680048586609,1320.935306754401,1281.073662143622,832.6288082627591,867.1769954379695,822.0673214809034
2021-04-09 06:00:00,476.1867131927281,1266.9357421489908,357.0032515453462,486.123852482206,700.6550821607589,1310.8086324748856,1271.2525788261735,832.6288082627591,860.5289643568212,822.0673214809034
2021-04-09 07:00:00,521.7387709646296,1388.1309131202986,391.15421016852065,486.123852482206,767.6798014494841,1436.200687524176,1392.8606987275184,832.6288082627591,942.8472315675057,822.0673214809034
2021-04-09 08:00:00,539.9163142085237,1436.4938317026727,404.78214615116497,503.0605607395703,794.4260077214693,1486.2383721994267,1441.3884045313803,861.637858405468,975.6963263214128,850.7084060949205
2021-04-09 09:00:00,523.3076660660371,1392.3050935931817,392.3304308336893,487.5856517067999,769.9882537765303,1440.5194162610278,1397.0491019070182,835.1325655667428,945.6824212932892,824.5393198553273
