Date,BNB,DOT,NEO,COTI,SUSHI,EGLD,FLM,BNT,DASH,AVA
2022-07-03 13:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,586.6163876338796,635.8273563904474,709.9830728177636,744.3892331051687
2022-07-03 14:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,587.8259059588979,635.8273563904474,709.9830728177636,744.3892331051687
2022-07-03 15:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,583.0175140901137,635.8273563904474,709.9830728177636,738.3001596237359
2022-07-03 16:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,581.0371556862748,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-03 17:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,582.6203631949567,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-03 18:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,577.1165271053959,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-03 19:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1009.7625920408389,748.530942130846,574.0179148793267,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-03 20:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.8988940856515,748.530942130846,577.50620740729,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-03 21:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1018.6501436295532,748.530942130846,579.0702052607967,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-03 22:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1016.5853122573312,748.530942130846,577.8964143041869,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-03 23:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1014.5288348893122,748.530942130846,576.7273723332411,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 00:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1018.6501436295532,748.530942130846,579.0702052607967,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 01:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1040.4884247170469,748.530942130846,579.0702052607967,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 02:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1038.3342043760179,748.530942130846,579.0702052607967,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 03:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1032.632987056177,748.530942130846,579.0702052607967,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 04:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1031.924733978635,748.530942130846,579.0702052607967,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 05:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1042.6516023152112,748.530942130846,579.0702052607967,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 06:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1039.769358770456,746.46174809593,579.0702052607967,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 07:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1040.4884247170469,746.9779733712385,579.0702052607967,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 08:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1023.5008585992176,734.7824146223203,579.0702052607967,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 09:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1020.7233800141448,732.7884324930874,579.0702052607967,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 10:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1003.0308414272331,720.0867663298739,579.0702052607967,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 11:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1011.1197998258401,725.893917671244,574.4376436187102,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 12:00:00,2765.9080767373293,1074.4372027031015,1045.7110966767384,1096.918449247054,1021.4163354656142,733.2859127595458,568.6469415661023,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 13:00:00,2750.967317376155,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.8988940856515,729.3248814954834,571.7353159941599,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 14:00:00,2745.406062691432,1074.4372027031015,1045.7110966767384,1096.918449247054,1013.8451901218664,727.8505050504116,572.8934564046815,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 15:00:00,2728.856394530533,1074.4372027031015,1045.7110966767384,1096.918449247054,1007.7335982189215,723.4629266542605,576.3678776362464,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 16:00:00,2716.121731356057,1074.4372027031015,1045.7110966767384,1096.918449247054,1003.0308414272331,720.0867663298739,579.0702052607967,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 17:00:00,2707.0980711189936,1074.4372027031015,1045.7110966767384,1096.918449247054,999.6985130503984,717.6944514915687,581.0004392783327,635.8273563904474,709.9830728177636,733.3478537357497
2022-07-04 18:00:00,2716.121731356057,1074.4372027031015,1045.7110966767384,1096.918449247054,1003.0308414272331,720.0867663298739,579.0702052607967,635.8273563904474,709.9830728177636,735.7923465815356
2022-07-04 19:00:00,2730.6853867520686,1074.4372027031015,1045.7110966767384,1096.918449247054,1008.4090228826072,723.9478213772192,575.981830832739,635.8273563904474,709.9830728177636,739.7376138554313
2022-07-04 20:00:00,2717.9336871474884,1074.4372027031015,1045.7110966767384,1091.7960815721178,1003.699974743729,720.5671444261579,575.981830832739,635.8273563904474,709.9830728177636,736.2832020495687
2022-07-04 21:00:00,2692.784267702634,1074.4372027031015,1045.7110966767384,1081.6935401696,994.4125989034038,713.899636149908,575.981830832739,635.8273563904474,709.9830728177636,729.4702709003989
2022-07-04 22:00:00,2689.2294369861947,1074.4372027031015,1045.7110966767384,1080.265561898749,993.0998429972606,712.9571943860137,575.981830832739,635.8273563904474,709.9830728177636,728.5072738431045
2022-07-04 23:00:00,2675.1034780263208,1074.4372027031015,1045.7110966767384,1074.591153169143,987.8832975317465,709.2121795763696,575.981830832739,635.8273563904474,709.9830728177636,724.6805777231145
2022-07-05 00:00:00,2675.1034780263208,1074.4372027031015,1045.7110966767384,1074.591153169143,987.8832975317465,709.2121795763696,575.981830832739,635.8273563904474,709.9830728177636,724.6805777231145
2022-07-05 01:00:00,2703.505372948962,1074.4372027031015,1045.7110966767384,1086.0002165073686,998.3717731525213,716.7419704676913,575.981830832739,635.8273563904474,709.9830728177636,732.3745984554104
2022-07-05 02:00:00,2673.3481607835206,1074.4372027031015,1045.7110966767384,1073.8860408639136,987.2350801449146,708.746817253813,575.981830832739,635.8273563904474,709.9830728177636,724.2050655330074
2022-07-05 03:00:00,2676.8611018620795,1074.4372027031015,1045.7110966767384,1075.2971920345626,988.5323667154071,709.6781534131477,575.981830832739,635.8273563904474,709.9830728177636,725.1567147649824
2022-07-05 04:00:00,2668.096003296716,1074.4372027031015,1045.7110966767384,1071.7762451058313,985.2955220306808,707.3543873574399,575.981830832739,635.8273563904474,709.9830728177636,722.7822657971861
2022-07-05 05:00:00,2666.3498671689044,1074.4372027031015,1045.7110966767384,1071.0748208616524,984.6506951183574,706.8914590934627,575.981830832739,635.8273563904474,709.9830728177636,722.3092407541254
2022-07-05 06:00:00,2683.9147543044046,1074.4372027031015,1045.7110966767384,1078.1306497210835,991.1371950861989,711.5481880729981,575.981830832739,635.8273563904474,709.9830728177636,727.0675361477626
2022-07-05 07:00:00,2764.031612641849,1074.4372027031015,1045.7110966767384,1110.3136541903693,1020.7233800141448,732.7884324930874,575.981830832739,635.8273563904474,709.9830728177636,748.7710446894866
2022-07-05 08:00:00,2773.4394806222504,1074.4372027031015,1045.7110966767384,1114.092802094353,1024.197591654765,735.282606871893,575.981830832739,635.8273563904474,712.399625141854,751.3196187013638
2022-07-05 09:00:00,2765.9080767373293,1074.4372027031015,1045.7110966767384,1111.0674312807907,1021.4163354656142,733.2859127595458,575.981830832739,635.8273563904474,710.4650708305389,749.2793753376127
2022-07-05 10:00:00,2771.5527870980177,1074.4372027031015,1045.7110966767384,1113.3349158344247,1023.5008585992176,734.7824146223203,575.981830832739,635.8273563904474,711.9149995465195,749.2793753376127
2022-07-05 11:00:00,2815.6064941493332,1074.4372027031015,1045.7110966767384,1113.3349158344247,1023.5008585992176,746.46174809593,575.981830832739,635.8273563904474,711.9149995465195,749.2793753376127
2022-07-05 12:00:00,2815.6064941493332,1074.4372027031015,1045.7110966767384,1113.3349158344247,1023.5008585992176,744.4039624361205,575.981830832739,635.8273563904474,711.9149995465195,749.2793753376127
2022-07-05 13:00:00,2815.6064941493332,1074.4372027031015,1045.7110966767384,1113.3349158344247,1023.5008585992176,737.2902044333181,575.981830832739,635.8273563904474,711.9149995465195,749.2793753376127
2022-07-05 14:00:00,2815.6064941493332,1074.4372027031015,1045.7110966767384,1113.3349158344247,1023.5008585992176,731.3000335103662,575.981830832739,635.8273563904474,711.9149995465195,749.2793753376127
2022-07-05 15:00:00,2815.6064941493332,1065.7078550846607,1045.7110966767384,1113.3349158344247,1023.5008585992176,737.2902044333181,575.981830832739,635.8273563904474,711.9149995465195,743.1917974743416
2022-07-05 16:00:00,2815.6064941493332,1070.0725288938813,1045.7110966767384,1113.3349158344247,1023.5008585992176,734.2829024437872,575.981830832739,635.8273563904474,711.9149995465195,746.2355864059772
2022-07-05 17:00:00,2815.6064941493332,1082.4391046866724,1045.7110966767384,1113.3349158344247,1023.5008585992176,725.893917671244,575.981830832739,635.8273563904474,711.9149995465195,754.8596550456111
2022-07-05 18:00:00,2815.6064941493332,1089.713561035373,1045.7110966767384,1113.3349158344247,1023.5008585992176,721.0481638817162,575.981830832739,635.8273563904474,711.9149995465195,759.932636598337
2022-07-05 19:00:00,2815.6064941493332,1095.533126114334,1045.7110966767384,1113.3349158344247,1023.5008585992176,717.2178947508704,575.981830832739,635.8273563904474,711.9149995465195,763.9910218405178
2022-07-05 20:00:00,2815.6064941493332,1090.4410066702433,1045.7110966767384,1113.3349158344247,1023.5008585992176,720.5671444261579,575.981830832739,635.8273563904474,711.9149995465195,763.9910218405178
2022-07-05 21:00:00,2815.6064941493332,1091.1684523051133,1045.7110966767384,1113.3349158344247,1023.5008585992176,720.0867663298739,575.981830832739,635.8273563904474,711.9149995465195,763.9910218405178
2022-07-05 22:00:00,2815.6064941493332,1078.074430877452,1045.7110966767384,1113.3349158344247,1023.5008585992176,728.8327594431921,575.981830832739,635.8273563904474,711.9149995465195,763.9910218405178
2022-07-05 23:00:00,2815.6064941493332,1083.1665503215427,1045.7110966767384,1113.3349158344247,1023.5008585992176,725.4064133611892,575.981830832739,635.8273563904474,711.9149995465195,763.9910218405178
2022-07-06 00:00:00,2815.6064941493332,1083.1665503215427,1045.7110966767384,1113.3349158344247,1036.0250023482224,734.2829024437872,575.981830832739,635.8273563904474,711.9149995465195,763.9910218405178
2022-07-06 01:00:00,2815.6064941493332,1083.1665503215427,1045.7110966767384,1113.3349158344247,1029.7248503069159,729.817668577575,575.981830832739,635.8273563904474,711.9149995465195,763.9910218405178
2022-07-06 02:00:00,2815.6064941493332,1083.1665503215427,1045.7110966767384,1113.3349158344247,1023.5008585992176,729.817668577575,575.981830832739,635.8273563904474,711.9149995465195,763.9910218405178
2022-07-06 03:00:00,2815.6064941493332,1083.1665503215427,1045.7110966767384,1113.3349158344247,1024.8774569295463,729.817668577575,575.981830832739,635.8273563904474,711.9149995465195,763.9910218405178
2022-07-06 04:00:00,2815.6064941493332,1083.1665503215427,1045.7110966767384,1113.3349158344247,1029.0295600636293,729.817668577575,575.981830832739,635.8273563904474,711.9149995465195,763.9910218405178
