Date,FUN,ONG,DUSK,YFI,WING,LTC,CTXC,EOS,FIO,MDT
2022-02-09 01:00:00,1015.6131019117782,1056.1750907253352,2354.5465049266127,784.2205227705251,1425.884675595659,572.1833259952463,854.1351212363733,703.3348193231546,1345.9629180067798,449.89836238800797
2022-02-09 02:00:00,1015.1362882489084,1055.6792338752289,2354.5465049266127,784.2205227705251,1425.884675595659,572.1833259952463,853.7341188320366,703.3348193231546,1345.3310105335368,449.89836238800797
2022-02-09 03:00:00,1015.1362882489084,1055.6792338752289,2354.5465049266127,784.2205227705251,1425.884675595659,572.1833259952463,853.7341188320366,703.3348193231546,1345.3310105335368,449.89836238800797
2022-02-09 04:00:00,1010.8650275690394,1051.2373857663572,2354.5465049266127,784.2205227705251,1425.884675595659,569.7758225198105,850.1419696644406,700.3754862825244,1339.6704312465797,449.89836238800797
2022-02-09 05:00:00,1002.8943849583376,1042.9484082348044,2354.5465049266127,784.2205227705251,1425.884675595659,565.283156015712,843.438623892504,694.8530450641558,1329.107167178309,449.89836238800797
2022-02-09 06:00:00,1003.3597651833759,1043.4323750135673,2354.5465049266127,784.2205227705251,1425.884675595659,565.5454683850926,843.8300107249363,695.1754826720738,1329.7239222442845,449.89836238800797
2022-02-09 07:00:00,1006.1611419125991,1046.3456343202597,2354.5465049266127,784.2205227705251,1425.884675595659,567.1244692274895,846.185980973587,697.1164100317915,1333.4365064850786,449.89836238800797
2022-02-09 08:00:00,1007.5677045527376,1046.3456343202597,2354.5465049266127,784.2205227705251,1425.884675595659,567.9172806942565,847.3689063896729,698.0909436898039,1335.3005836143677,449.89836238800797
2022-02-09 09:00:00,999.1868271581214,1046.3456343202597,2354.5465049266127,784.2205227705251,1425.884675595659,563.1933846441194,840.3205513457661,692.2842722543064,1324.1936471517713,449.89836238800797
2022-02-09 10:00:00,992.3085332584559,1046.3456343202597,2354.5465049266127,784.2205227705251,1425.884675595659,559.316422381769,840.3205513457661,687.5186623030379,1315.0780415036409,449.89836238800797
2022-02-09 11:00:00,985.0753047700117,1046.3456343202597,2354.5465049266127,784.2205227705251,1425.884675595659,555.2394006240887,840.3205513457661,682.5071367463872,1305.492051223888,449.89836238800797
2022-02-09 12:00:00,985.0753047700117,1046.3456343202597,2354.5465049266127,784.2205227705251,1425.884675595659,557.0157606809298,837.6407135965999,684.6906604928333,1309.668671131825,449.89836238800797
2022-02-09 13:00:00,985.0753047700117,1046.3456343202597,2354.5465049266127,784.2205227705251,1425.884675595659,553.4743344095707,843.0003890949325,684.6906604928333,1301.3419856659555,449.89836238800797
2022-02-09 14:00:00,985.0753047700117,1046.3456343202597,2354.5465049266127,784.2205227705251,1425.884675595659,555.4924723654854,839.9377173815996,684.6906604928333,1301.3419856659555,449.89836238800797
2022-02-09 15:00:00,985.0753047700117,1046.3456343202597,2354.5465049266127,784.2205227705251,1425.884675595659,554.4815670472589,841.469053238266,684.6906604928333,1301.3419856659555,449.89836238800797
2022-02-09 16:00:00,985.0753047700117,1046.3456343202597,2354.5465049266127,784.2205227705251,1425.884675595659,554.7339482794149,841.0862192740996,684.6906604928333,1301.3419856659555,449.89836238800797
2022-02-09 17:00:00,985.0753047700117,1046.3456343202597,2354.5465049266127,782.7953150962488,1425.884675595659,553.7257993502384,842.617555130766,684.6906604928333,1301.3419856659555,449.89836238800797
2022-02-09 18:00:00,985.0753047700117,1046.3456343202597,2354.5465049266127,779.607460871875,1425.884675595659,551.4708074071831,846.0630608082656,684.6906604928333,1301.3419856659555,449.89836238800797
2022-02-09 19:00:00,985.0753047700117,1046.3456343202597,2354.5465049266127,776.0957155526322,1425.884675595659,548.9867046711147,849.8914004499321,684.6906604928333,1301.3419856659555,449.89836238800797
2022-02-09 20:00:00,985.0753047700117,1046.3456343202597,2354.5465049266127,781.0210736749065,1425.884675595659,552.4707544741045,844.5317249515992,684.6906604928333,1301.3419856659555,449.89836238800797
2022-02-09 21:00:00,985.0753047700117,1046.3456343202597,2354.5465049266127,782.4398222192752,1425.884675595659,553.4743344095707,843.0003890949325,684.6906604928333,1301.3419856659555,449.89836238800797
2022-02-09 22:00:00,985.0753047700117,1046.3456343202597,2354.5465049266127,785.2928388909954,1425.884675595659,555.4924723654854,839.9377173815996,684.6906604928333,1301.3419856659555,449.89836238800797
2022-02-09 23:00:00,985.0753047700117,1046.3456343202597,2354.5465049266127,791.0617486349144,1425.884675595659,559.5732251468661,833.8123739549335,684.6906604928333,1301.3419856659555,449.89836238800797
