Date,YFI,BNT,NEAR,PAXG,1INCH,UTK,STRAX,EGLD,SNX,DOT
2022-08-16 23:00:00,1644.38813057736,925.0674539892987,954.0372319215712,549.459056458197,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-17 00:00:00,1644.38813057736,921.5663576537629,950.4264938697233,549.459056458197,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-17 01:00:00,1644.38813057736,923.1224004695565,952.0312663372112,550.3868049705789,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-17 02:00:00,1644.38813057736,923.1224004695565,952.4324594540832,550.6187420986744,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-17 03:00:00,1644.38813057736,923.1224004695565,962.4622873758826,556.4171703010613,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-17 04:00:00,1644.38813057736,923.1224004695565,962.8634804927545,556.6491074291569,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-17 05:00:00,1644.38813057736,923.1224004695565,972.4921152976821,562.2155985034484,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-17 06:00:00,1644.38813057736,923.1224004695565,950.827686986595,549.6909935862924,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-17 07:00:00,1644.38813057736,923.1224004695565,946.4145627010034,547.1396851772421,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-17 08:00:00,1621.702173926418,923.1224004695565,959.6539355577788,554.793610404393,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-17 09:00:00,1619.6708142096,924.2801626775033,960.8575149083948,555.4894217886795,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-17 10:00:00,1632.622727286192,916.9476686938405,953.2348456878271,551.0826163548653,1482.5986289477642,1178.732479684895,1088.3894909989206,712.3346969506766,1038.7334092453573,815.9759566550645
2022-08-17 11:00:00,1659.8680359572068,901.8967599905325,937.5883141298199,542.0370683591416,1458.2630453918034,1159.3845980739054,1088.3894909989206,700.6423345007287,1021.683492174411,802.582411911989
2022-08-17 12:00:00,1677.8164359999964,892.248741590976,927.5584862080203,536.2386401567545,1442.6633123431106,1146.9821098617329,1088.3894909989206,693.1472303661467,1010.7540581545733,793.9968063074533
2022-08-17 13:00:00,1686.570260883475,887.6176927591889,922.7441688055566,533.4553946196087,1435.1754404797382,1141.0289155198898,1082.740410595812,689.5495803815472,1005.5079298250513,789.8757156172762
2022-08-17 14:00:00,1679.26909092294,891.4769001190116,926.7560999742765,535.7747659005636,1441.4153336992156,1145.9899108047591,1087.4479775984025,692.5476220353802,1009.8797034329865,793.3099578590906
2022-08-17 15:00:00,1674.195770406557,894.1783452708872,929.5644517923802,537.3983257972318,1445.783258952849,1149.4626075041672,1090.7432745002154,694.646251193063,1012.9399449585408,795.7139274283603
2022-08-17 16:00:00,1669.871545429183,896.4938696867808,931.971610493612,538.7899485658047,1449.5271948845354,1152.4392046750888,1093.56781470177,696.4450761853627,1012.9399449585408,797.7744727734489
