Date,ONG,PSG,OG,CKB,PAXG,STRAX,HIVE,LSK,KMD,YFI
2022-03-16 02:00:00,479.19489733242364,345.23289536435425,411.0384542941561,211.36541114515646,413.18353286449917,311.2204545901472,152.52367966679793,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 03:00:00,479.19489733242364,342.5621922026908,407.8586828581518,213.01327037965615,409.9871672157279,311.2204545901472,153.71279359351414,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 04:00:00,479.19489733242364,343.63047346735624,409.13059143255356,212.3510529587867,411.26571347523645,311.2204545901472,153.23492998648763,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 05:00:00,479.19489733242364,345.49996568052063,411.3564314377565,211.20202639034184,411.26571347523645,311.2204545901472,152.40577937331673,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 06:00:00,479.19489733242364,344.4316844158553,410.08452286335483,211.85708566061427,411.26571347523645,311.2204545901472,152.87847757762788,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 07:00:00,479.19489733242364,344.4316844158553,414.53620287376083,209.5819648225305,411.26571347523645,311.2204545901472,151.23672455838465,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 08:00:00,479.19489733242364,344.4316844158553,414.53620287376083,208.62180311043946,411.26571347523645,311.2204545901472,150.54386096916323,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 09:00:00,479.19489733242364,344.4316844158553,418.36957130516475,210.55100550241886,411.26571347523645,311.2204545901472,151.93599531154436,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 10:00:00,479.19489733242364,344.4316844158553,417.2976533668989,210.01154609810828,411.26571347523645,311.2204545901472,151.54671528256273,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 11:00:00,479.19489733242364,344.4316844158553,418.79988199820167,210.76756606349102,411.26571347523645,311.2204545901472,152.09226787036312,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 12:00:00,479.19489733242364,344.4316844158553,415.06440904459896,208.88763109605415,411.26571347523645,311.2204545901472,150.7356854607141,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 13:00:00,479.19489733242364,344.4316844158553,414.43072292392014,208.56871868216703,411.89456013192637,311.2204545901472,150.50555464321684,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 14:00:00,479.19489733242364,344.4316844158553,414.32529663978795,208.51566126199862,411.9993679080414,311.2204545901472,150.46726780662485,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 15:00:00,479.19489733242364,344.4316844158553,415.17021185088106,208.9408780068612,411.1609056991214,311.2204545901472,150.77410903590166,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 16:00:00,475.28609368352295,344.4316844158553,415.17021185088106,208.9408780068612,407.8070568634416,311.2204545901472,150.77410903590166,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 17:00:00,472.96524151698804,344.4316844158553,415.17021185088106,208.9408780068612,405.8157091172567,311.2204545901472,150.77410903590166,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 18:00:00,480.1720982446488,344.4316844158553,415.17021185088106,208.9408780068612,405.8157091172567,311.2204545901472,150.77410903590166,142.0828924834252,519.6640164470183,194.8096483682229
