Date,TRU,DOT,BNT,AVA,STPT,CHR,STORJ,1INCH,KMD,ASR
2021-11-18 08:00:00,6709.200438346042,13263.010136095432,3545.641964039168,5560.322027906483,3953.233352032023,3288.787363083338,5402.93915635814,1139.7107866861438,6094.266942528141,2591.881719933326
2021-11-18 09:00:00,6709.200438346042,13063.007276624101,3492.174574344619,5476.473769196631,4013.7598416695732,3288.787363083338,5321.464191796336,1139.7107866861438,6094.266942528141,2591.881719933326
2021-11-18 10:00:00,6709.200438346042,13063.007276624101,3499.956013524034,5488.6767237298145,4004.836064351216,3288.787363083338,5333.321746186116,1139.7107866861438,6094.266942528141,2591.881719933326
2021-11-18 11:00:00,6709.200438346042,13063.007276624101,3499.956013524034,5488.6767237298145,3983.8845871689873,3288.787363083338,5361.3699906635275,1133.7483392456234,6094.266942528141,2591.881719933326
2021-11-18 12:00:00,6709.200438346042,13063.007276624101,3499.956013524034,5488.6767237298145,3967.9769841232214,3301.972097794046,5382.863700413913,1129.2212958185614,6094.266942528141,2591.881719933326
2021-11-18 13:00:00,6709.200438346042,13063.007276624101,3499.956013524034,5488.6767237298145,3921.030155622301,3341.5068913654964,5447.313186634978,1115.860996924062,6094.266942528141,2561.2160615670477
2021-11-18 14:00:00,6709.200438346042,13063.007276624101,3499.956013524034,5488.6767237298145,3847.3119951663116,3405.5333445078363,5551.688893115478,1094.8820151888979,5979.690382160009,2513.063374876197
2021-11-18 15:00:00,6709.200438346042,13063.007276624101,3499.956013524034,5488.6767237298145,3781.7416313922986,3464.580757580764,5647.9477853835115,1076.2217630139357,5877.777546885197,2470.2328272406507
2021-11-18 16:00:00,6709.200438346042,13063.007276624101,3539.813930575554,5551.182429724891,3824.8085567113244,3425.569957814943,5584.352512084914,1088.4779049750052,5944.714379521316,2498.3641336758324
2021-11-18 17:00:00,6709.200438346042,13063.007276624101,3560.2815096020113,5583.2799544250665,3846.9240048481224,3405.8768173615435,5552.2488213951665,1094.7715994955547,5979.0873476317565,2512.809939683087
2021-11-18 18:00:00,6709.200438346042,13063.007276624101,3581.467249296062,5616.503708062089,3869.815433621298,3385.729761794636,5519.405159828863,1101.2861254027898,6014.666384798702,2527.7626160765617
2021-11-18 19:00:00,6709.200438346042,13063.007276624101,3591.521498642391,5632.270913177963,3880.679162530602,3376.2516140911525,5503.953915630183,1104.377764816393,6031.551351589795,2534.8588014836346
2021-11-18 20:00:00,6709.200438346042,13063.007276624101,3550.586340589479,5568.075863777615,3836.4482662570076,3415.1768450788536,5503.953915630183,1091.7903757752945,5962.805415368916,2505.967189469124
2021-11-18 21:00:00,6709.200438346042,13063.007276624101,3494.928888850869,5480.793121171877,3776.309766937647,3469.5642293372757,5417.676320876675,1074.6759433071343,5869.33506348965,2466.6847345371148
2021-11-18 22:00:00,6709.200438346042,13063.007276624101,3512.1647448731483,5507.822615656234,3794.9333022107394,3452.5374342234645,5444.394543768084,1079.9758965875965,5898.28072084581,2478.8496238063817
2021-11-18 23:00:00,6709.200438346042,13063.007276624101,3584.339891966442,5621.008623809481,3872.9193561668135,3383.016293742707,5556.277102125859,1102.1694509495337,6019.490661024729,2529.7900976214396
2021-11-19 00:00:00,6709.200438346042,13063.007276624101,3525.450717223656,5528.657850987928,3809.2889439837486,3439.5262420187105,5464.989840580212,1084.0612772412865,5920.592998391184,2529.7900976214396
2021-11-19 01:00:00,6709.200438346042,13063.007276624101,3487.3882018411227,5468.967717334971,3768.161970255669,3477.066376044039,5405.987098361685,1072.3572137469316,5856.671338396331,2529.7900976214396
2021-11-19 02:00:00,6709.200438346042,13063.007276624101,3485.951880505933,5466.715259461275,3766.6100089829124,3478.499036273146,5403.760579787401,1071.91555097356,5854.259200283318,2529.7900976214396
2021-11-19 03:00:00,6709.200438346042,13063.007276624101,3663.6966457356853,5745.456921331211,3958.665216486676,3309.7391594765954,5679.292253355053,1126.5713191783302,6152.761291768715,2529.7900976214396
2021-11-19 04:00:00,6709.200438346042,13063.007276624101,3717.558695805308,5829.924091594828,4016.86376421509,3309.7391594765954,5762.786699890706,1143.133673179776,6243.216471006715,2566.981954393293
2021-11-19 05:00:00,6709.200438346042,13063.007276624101,3776.088790214297,5921.711749947958,4080.1061860799655,3361.848449826705,5853.517331792781,1161.1314311946803,6341.511099112008,2607.397105418707
2021-11-19 06:00:00,6891.030233413426,13417.035145950635,3878.426685346579,6082.199373448831,4190.6834267639515,3452.9597857149333,5853.517331792781,1192.5999037974268,6513.375939664207,2678.0616332852273
2021-11-19 07:00:00,7078.602022009255,13782.242842729589,3983.9963034830375,6247.755027165518,4304.752580311641,3546.9483216838426,6012.848328510407,1225.06211764026,6690.668090970686,2750.957672558059
2021-11-19 08:00:00,7086.258013380513,13797.149279332816,3988.3052674886076,6254.512400786609,4309.408464129914,3550.7845884580843,6019.351634498881,1226.387105960376,6697.904505309726,2753.933021099808
2021-11-19 09:00:00,6936.328182360038,13505.231562519702,3903.9213890461997,6122.1805007069415,4218.2307393554,3475.657697462527,5891.995225557921,1200.4394180247778,6556.191391170193,2695.6657788239045
2021-11-19 10:00:00,6895.496228379993,13425.730567302515,3880.9402476831615,6086.141174727799,4193.399358991277,3455.197607999907,5891.995225557921,1193.3728136508275,6517.597181361981,2679.797253267914
2021-11-19 11:00:00,6942.70817516942,13517.653593022385,3907.512192384175,6127.811645391183,4222.1106425372955,3478.854586441062,5891.995225557921,1201.5435749582075,6562.221736452728,2698.145235942028
2021-11-19 12:00:00,7071.584029918936,13768.578609176633,3980.0464198112654,6241.560768012854,4300.484686811558,3543.4317438074554,5891.995225557921,1223.8475450134877,6684.034711159899,2748.2302697281234
2021-11-19 13:00:00,7079.240021290192,13783.485045779857,3984.355383816835,6248.318141633942,4305.14057062983,3547.2680105816958,5898.374144964876,1225.172533333603,6691.271125498939,2751.2056182698716
2021-11-19 14:00:00,7002.680107577608,13634.42067974763,3941.2657437611374,6180.74440542305,4258.5817324471,3508.9053428392835,5834.584950895321,1211.9226501324465,6618.9069821085395,2721.4521328523892
2021-11-19 15:00:00,6912.722208965323,13634.42067974763,3890.635416695693,6101.34526537525,4203.875097582392,3463.8292082419493,5759.632647863593,1211.9226501324465,6533.87911362482,2686.4917874868474
