Date,FUN,EOS,ZEC,TRX,LTC,DASH,NEO,BCH,VET,FIL
2021-06-12 02:00:00,471.6764352844954,6098.523207119751,4184.133679083281,1206.2737813437948,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 03:00:00,466.28485852148503,6098.523207119751,4184.133679083281,1192.4852661609254,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 04:00:00,469.2003037340759,6098.523207119751,4184.133679083281,1199.9412780746252,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 05:00:00,474.405505004044,6098.523207119751,4184.133679083281,1213.2531532264818,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 06:00:00,480.8753971196563,6098.523207119751,4184.133679083281,1229.7993714459246,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 07:00:00,476.1095095118595,6098.523207119751,4184.133679083281,1217.6110049385982,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 08:00:00,481.94039993704104,6098.523207119751,4184.133679083281,1232.5230287659974,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 09:00:00,485.2685337413685,6098.523207119751,4184.133679083281,1241.0344578912254,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 10:00:00,487.55828979874576,6098.523207119751,4184.133679083281,1246.890321129382,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 11:00:00,494.54737078783336,6098.523207119751,4184.133679083281,1264.7643222923607,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 12:00:00,490.52698515220595,6098.523207119751,4184.133679083281,1254.4825159090858,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 13:00:00,485.627972192236,6098.523207119751,4184.133679083281,1241.9536922367502,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 14:00:00,487.05241346048797,6098.523207119751,4184.133679083281,1245.5965839023472,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 15:00:00,492.01798909654457,6098.523207119751,4184.133679083281,1258.2956361571878,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 16:00:00,491.04617402568095,6098.523207119751,4184.133679083281,1255.8102988526211,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 17:00:00,488.43691712308816,6098.523207119751,4184.133679083281,1249.1373384184424,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 18:00:00,485.12209585397807,6098.523207119751,4184.133679083281,1249.1373384184424,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 19:00:00,493.0963044491465,6098.523207119751,4184.133679083281,1249.1373384184424,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 20:00:00,496.5575636056469,6098.523207119751,4184.133679083281,1249.1373384184424,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 21:00:00,493.50899304088307,6098.523207119751,4184.133679083281,1249.1373384184424,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 22:00:00,485.5880345865839,6098.523207119751,4184.133679083281,1249.1373384184424,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-12 23:00:00,493.33593008305814,6098.523207119751,4184.133679083281,1249.1373384184424,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-13 00:00:00,492.71024092784455,6098.523207119751,4184.133679083281,1249.1373384184424,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-13 01:00:00,492.71024092784455,6098.523207119751,4184.133679083281,1249.1373384184424,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-13 02:00:00,492.71024092784455,6098.523207119751,4184.133679083281,1249.1373384184424,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
2021-06-13 03:00:00,492.71024092784455,6098.523207119751,4184.133679083281,1249.1373384184424,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1443.8054099706967,5160.323757126664
