Date,STORJ,1INCH,LRC,KNC,SKL,TRU,NEAR,STRAX,DOT,DIA
2022-09-28 09:00:00,4483.240967920363,8977.449002471558,8634.126003734194,7227.119364647048,4242.871748611601,5323.705386655394,5263.5357896816,4263.763877157983,2237.944055450379,3435.173222650351
2022-09-28 10:00:00,4487.392116964733,8985.76145525162,8634.126003734194,7233.811141836535,4246.800333564019,5328.634743494888,5268.409433931304,4263.763877157983,2237.944055450379,3431.9954490863825
2022-09-28 11:00:00,4512.299011230957,9035.63617193202,8634.126003734194,7273.961804973463,4270.371843278527,5358.2108845318635,5297.651299429535,4263.763877157983,2237.944055450379,3431.9954490863825
2022-09-28 12:00:00,4512.299011230957,9035.63617193202,8634.126003734194,7273.961804973463,4270.371843278527,5358.2108845318635,5297.651299429535,4263.763877157983,2237.944055450379,3431.9954490863825
2022-09-28 13:00:00,4516.450160275328,9043.948624712086,8634.126003734194,7280.653582162952,4270.371843278527,5363.1402413713595,5302.524943679241,4263.763877157983,2237.944055450379,3431.9954490863825
2022-09-28 14:00:00,4520.601309319698,9052.261077492149,8634.126003734194,7287.345359352438,4270.371843278527,5368.069598210855,5307.398587928946,4263.763877157983,2237.944055450379,3431.9954490863825
2022-09-28 15:00:00,4520.601309319698,9052.261077492149,8634.126003734194,7287.345359352438,4270.371843278527,5368.069598210855,5307.398587928946,4263.763877157983,2237.944055450379,3431.9954490863825
2022-09-28 16:00:00,4528.90360740844,9068.88598305228,8618.298091720017,7287.345359352438,4262.543480596073,5368.069598210855,5307.398587928946,4263.763877157983,2237.944055450379,3431.9954490863825
2022-09-28 17:00:00,4528.90360740844,9110.448246952614,8578.981038381877,7287.345359352438,4243.097570556856,5368.069598210855,5307.398587928946,4263.763877157983,2237.944055450379,3431.9954490863825
2022-09-28 18:00:00,4528.90360740844,9127.073152512745,8563.35447911342,7287.345359352438,4235.368795382801,5368.069598210855,5307.398587928946,4263.763877157983,2237.944055450379,3431.9954490863825
2022-09-28 19:00:00,4528.90360740844,9152.010510852942,8540.021088162159,7287.345359352438,4223.828280953965,5368.069598210855,5307.398587928946,4263.763877157983,2237.944055450379,3431.9954490863825
2022-09-28 20:00:00,4528.90360740844,9127.073152512745,8563.35447911342,7287.345359352438,4235.368795382801,5368.069598210855,5307.398587928946,4263.763877157983,2237.944055450379,3431.9954490863825
2022-09-28 21:00:00,4528.90360740844,9077.198435832346,8610.40587735031,7287.345359352438,4258.640052500288,5368.069598210855,5307.398587928946,4263.763877157983,2237.944055450379,3431.9954490863825
2022-09-28 22:00:00,4528.90360740844,9068.88598305228,8618.298091720017,7287.345359352438,4262.543480596073,5368.069598210855,5307.398587928946,4263.763877157983,2237.944055450379,3431.9954490863825
2022-09-28 23:00:00,4528.90360740844,9002.386360811752,8681.960496829674,7287.345359352438,4294.030413047383,5368.069598210855,5307.398587928946,4263.763877157983,2237.944055450379,3431.9954490863825
2022-09-29 00:00:00,4528.90360740844,9002.386360811752,8618.298091720017,7287.345359352438,4262.543480596073,5368.069598210855,5307.398587928946,4232.498880808521,2237.944055450379,3431.9954490863825
2022-09-29 01:00:00,4528.90360740844,9002.386360811752,8689.984489895136,7287.345359352438,4297.999017865356,5368.069598210855,5307.398587928946,4267.704509207112,2237.944055450379,3431.9954490863825
