Trading Coin,Total Pairs,PF Mean,PF Median,PF Std,PF Min,PF Max,PF Above 1.0 (%),PF Above 1.2 (%),PF Above 1.5 (%),DD Mean (%),DD Median (%),DD Std (%),DD Best (%),DD Worst (%),DD Better than -10% (%),DD Better than -20% (%),DD Worse than -50% (%)
AUDIO,135,0.995,0.996,0.024,0.928,1.068,37.778,0.000,0.000,-85.116,-86.451,8.534,-61.722,-99.239,0.000,0.000,100.000
TRX,135,0.994,0.992,0.023,0.943,1.063,40.741,0.000,0.000,-77.763,-77.069,8.024,-58.219,-97.441,0.000,0.000,100.000
ENJ,135,0.994,0.995,0.031,0.912,1.061,45.926,0.000,0.000,-86.010,-90.235,12.630,-52.374,-99.938,0.000,0.000,100.000
ADA,135,0.992,0.995,0.023,0.930,1.040,37.778,0.000,0.000,-80.710,-82.336,8.892,-54.304,-97.176,0.000,0.000,100.000
THETA,135,0.992,0.992,0.020,0.930,1.039,31.111,0.000,0.000,-85.179,-86.430,8.821,-51.753,-99.272,0.000,0.000,100.000
UNI,135,0.991,0.991,0.022,0.923,1.040,37.037,0.000,0.000,-82.589,-84.817,9.073,-56.792,-98.605,0.000,0.000,100.000
NEAR,135,0.990,0.991,0.022,0.929,1.058,29.630,0.000,0.000,-89.500,-91.539,7.477,-55.583,-98.598,0.000,0.000,100.000
YFI,135,0.989,0.991,0.024,0.921,1.052,32.593,0.000,0.000,-79.998,-80.409,10.025,-52.598,-97.286,0.000,0.000,100.000
OGN,135,0.988,0.988,0.024,0.943,1.058,31.852,0.000,0.000,-89.522,-91.716,10.638,-57.784,-99.980,0.000,0.000,100.000
PAXG,135,0.988,0.987,0.015,0.951,1.035,20.000,0.000,0.000,-27.829,-27.734,5.698,-13.543,-40.885,0.000,4.444,0.000
SNX,135,0.987,0.989,0.022,0.903,1.041,28.889,0.000,0.000,-85.833,-86.763,8.182,-61.662,-99.610,0.000,0.000,100.000
AVAX,135,0.987,0.988,0.021,0.920,1.030,28.148,0.000,0.000,-94.485,-95.877,4.917,-73.522,-99.698,0.000,0.000,100.000
BAT,135,0.986,0.982,0.023,0.930,1.046,29.630,0.000,0.000,-84.704,-85.923,9.026,-60.747,-98.487,0.000,0.000,100.000
LRC,135,0.986,0.984,0.022,0.929,1.051,29.630,0.000,0.000,-87.198,-87.818,6.123,-69.881,-98.480,0.000,0.000,100.000
ATOM,135,0.985,0.985,0.022,0.927,1.047,25.185,0.000,0.000,-86.218,-87.461,9.398,-54.409,-99.286,0.000,0.000,100.000
BCH,135,0.985,0.987,0.026,0.914,1.041,25.185,0.000,0.000,-79.163,-82.029,12.248,-44.296,-98.922,0.000,0.000,98.519
LTO,135,0.984,0.984,0.022,0.928,1.031,22.963,0.000,0.000,-95.334,-96.398,4.037,-70.879,-99.675,0.000,0.000,100.000
XRP,135,0.983,0.983,0.024,0.924,1.060,21.481,0.000,0.000,-86.455,-87.752,8.287,-63.320,-98.804,0.000,0.000,100.000
ONE,135,0.982,0.981,0.026,0.919,1.051,24.444,0.000,0.000,-91.273,-95.009,8.922,-63.007,-99.900,0.000,0.000,100.000
BEL,135,0.981,0.980,0.023,0.921,1.049,20.741,0.000,0.000,-90.948,-91.379,5.007,-78.571,-99.466,0.000,0.000,100.000
DASH,135,0.981,0.981,0.023,0.908,1.034,23.704,0.000,0.000,-86.533,-86.859,8.022,-64.585,-99.007,0.000,0.000,100.000
RVN,135,0.981,0.980,0.026,0.911,1.060,20.741,0.000,0.000,-90.856,-92.270,7.407,-63.162,-99.790,0.000,0.000,100.000
KSM,135,0.980,0.981,0.021,0.927,1.041,15.556,0.000,0.000,-89.069,-90.786,6.957,-66.080,-98.793,0.000,0.000,100.000
VET,135,0.979,0.976,0.024,0.924,1.052,19.259,0.000,0.000,-84.634,-87.719,11.004,-47.365,-99.797,0.000,0.000,99.259
KNC,135,0.978,0.977,0.021,0.914,1.024,11.852,0.000,0.000,-89.388,-92.095,7.676,-62.757,-99.433,0.000,0.000,100.000
MBL,135,0.978,0.977,0.023,0.919,1.049,17.037,0.000,0.000,-93.754,-94.532,4.375,-77.969,-99.713,0.000,0.000,100.000
