Reference Coin,Trading Coin,Number of Trades,Profit Factor,Total Cummulative Return,Max DrawDown,Sharpe Ratio,Mean Exit Hour,STD Exit Hour
CTSI,HBAR,1112,0.9420555605287951,-2.786247611432725,-0.9834344642019175,-0.20608042240129018,11.283478260869565,7.1787521655329005
CTSI,HIVE,1307,0.900823719479601,-5.988562461896355,-0.9981415430208332,-0.312522268378253,11.525547445255475,7.06328979641294
CTSI,HOT,992,0.9436124305576336,-2.7096511992667978,-0.9910695548643599,-0.16589440315322845,11.695568400770712,6.475361650776209
CTSI,ICX,1074,0.9494743434015003,-2.441123854022115,-0.974291753626915,-0.171683522574369,11.470483005366725,6.889717933787126
CTSI,INJ,1299,0.9301880073450735,-4.31616709997523,-0.9963637592245194,-0.2715476521793772,11.125553914327917,6.7000759420409235
CTSI,IOST,1050,1.0205919453019001,0.9425216116878601,-0.7441445196743364,0.06678100157294593,11.26605504587156,6.7897010593181175
CTSI,IOTA,1018,0.9858405146362303,-0.6133732417588567,-0.8286168020854561,-0.04652024752298459,11.326996197718632,6.904485312908993
CTSI,IOTX,1112,0.9831275377695422,-0.940361072844563,-0.9474424616334566,-0.048423113218903927,11.161458333333334,6.751487356260036
CTSI,JST,1176,0.9665372306631999,-1.553391165550575,-0.8843900373064096,-0.12225167788459898,11.317073170731707,7.110478885876395
CTSI,JUV,1367,0.8598850321217018,-8.728281299905802,-0.9999033071301858,-0.48880730820448604,11.19889502762431,6.840745140313251
CTSI,KAVA,1279,0.8927053537392381,-5.986920285713428,-0.9983604179522159,-0.42313650803275976,11.26060606060606,6.811707292084976
CTSI,KMD,1364,0.9100658443720098,-5.337167025175814,-0.9961168723619037,-0.3119296406306443,11.786421499292786,6.766517891180203
CTSI,KNC,1197,0.9684399902901624,-1.7809105269800694,-0.9098514291527171,-0.12056245467027699,11.7524115755627,6.9541715122158925
CTSI,KSM,1163,0.9643392609461986,-1.792393856461747,-0.921411269209327,-0.1352631317892965,11.227953410981698,6.922640438288402
